combo_id,fold,val_macro,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
0,0,0.941,128,128,3,0.5,0.5,0.005,0.0001,500,32,0.1,0
0,1,0.9511,128,128,3,0.5,0.5,0.005,0.0001,500,32,0.1,0
0,2,0.961,128,128,3,0.5,0.5,0.005,0.0001,500,32,0.1,0
0,3,0.9385,128,128,3,0.5,0.5,0.005,0.0001,500,32,0.1,0
0,4,0.9508,128,128,3,0.5,0.5,0.005,0.0001,500,32,0.1,0
1,0,0.945,256,256,4,0.5,0.1,0.005,0.0001,500,64,0.1,0
1,1,0.9404,256,256,4,0.5,0.1,0.005,0.0001,500,64,0.1,0
1,2,0.957,256,256,4,0.5,0.1,0.005,0.0001,500,64,0.1,0
1,3,0.9386,256,256,4,0.5,0.1,0.005,0.0001,500,64,0.1,0
1,4,0.9526,256,256,4,0.5,0.1,0.005,0.0001,500,64,0.1,0
2,0,0.945,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,10
2,1,0.9387,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,10
2,2,0.9569,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,10
2,3,0.9467,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,10
2,4,0.9485,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,10
3,0,0.943,128,128,2,0.5,0.1,0.001,0.0001,500,128,0.0,10
3,1,0.9447,128,128,2,0.5,0.1,0.001,0.0001,500,128,0.0,10
3,2,0.957,128,128,2,0.5,0.1,0.001,0.0001,500,128,0.0,10
3,3,0.9366,128,128,2,0.5,0.1,0.001,0.0001,500,128,0.0,10
3,4,0.9507,128,128,2,0.5,0.1,0.001,0.0001,500,128,0.0,10
4,0,0.9408,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
4,1,0.9468,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
4,2,0.9549,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
4,3,0.9386,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
4,4,0.9505,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
5,0,0.947,128,256,2,0.1,0.5,0.001,0.0001,500,32,0.0,0
5,1,0.9407,128,256,2,0.1,0.5,0.001,0.0001,500,32,0.0,0
5,2,0.959,128,256,2,0.1,0.5,0.001,0.0001,500,32,0.0,0
5,3,0.9426,128,256,2,0.1,0.5,0.001,0.0001,500,32,0.0,0
5,4,0.9487,128,256,2,0.1,0.5,0.001,0.0001,500,32,0.0,0
6,0,0.9469,128,128,5,0.5,0.5,0.005,0.0001,500,32,0.0,0
6,1,0.9426,128,128,5,0.5,0.5,0.005,0.0001,500,32,0.0,0
6,2,0.9567,128,128,5,0.5,0.5,0.005,0.0001,500,32,0.0,0
6,3,0.9383,128,128,5,0.5,0.5,0.005,0.0001,500,32,0.0,0
6,4,0.9464,128,128,5,0.5,0.5,0.005,0.0001,500,32,0.0,0
7,0,0.9464,256,128,4,0.5,0.1,0.001,0.0001,500,32,0.1,10
7,1,0.9366,256,128,4,0.5,0.1,0.001,0.0001,500,32,0.1,10
7,2,0.959,256,128,4,0.5,0.1,0.001,0.0001,500,32,0.1,10
7,3,0.9386,256,128,4,0.5,0.1,0.001,0.0001,500,32,0.1,10
7,4,0.9486,256,128,4,0.5,0.1,0.001,0.0001,500,32,0.1,10
8,0,0.941,128,128,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
8,1,0.9403,128,128,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
8,2,0.9568,128,128,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
8,3,0.9468,128,128,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
8,4,0.9483,128,128,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
9,0,0.9429,128,256,4,0.5,0.5,0.005,0.0001,500,64,0.0,0
9,1,0.9404,128,256,4,0.5,0.5,0.005,0.0001,500,64,0.0,0
9,2,0.9545,128,256,4,0.5,0.5,0.005,0.0001,500,64,0.0,0
9,3,0.9387,128,256,4,0.5,0.5,0.005,0.0001,500,64,0.0,0
9,4,0.9489,128,256,4,0.5,0.5,0.005,0.0001,500,64,0.0,0
10,0,0.941,128,256,3,0.5,0.1,0.001,0.0001,500,128,0.0,0
10,1,0.9385,128,256,3,0.5,0.1,0.001,0.0001,500,128,0.0,0
10,2,0.959,128,256,3,0.5,0.1,0.001,0.0001,500,128,0.0,0
10,3,0.9427,128,256,3,0.5,0.1,0.001,0.0001,500,128,0.0,0
10,4,0.9503,128,256,3,0.5,0.1,0.001,0.0001,500,128,0.0,0
11,0,0.9471,128,128,3,0.5,0.5,0.001,0.0001,500,32,0.1,10
11,1,0.9428,128,128,3,0.5,0.5,0.001,0.0001,500,32,0.1,10
11,2,0.9589,128,128,3,0.5,0.5,0.001,0.0001,500,32,0.1,10
11,3,0.9405,128,128,3,0.5,0.5,0.001,0.0001,500,32,0.1,10
11,4,0.9527,128,128,3,0.5,0.5,0.001,0.0001,500,32,0.1,10
12,0,0.9471,128,128,4,0.5,0.5,0.001,0.0001,500,32,0.1,10
12,1,0.9448,128,128,4,0.5,0.5,0.001,0.0001,500,32,0.1,10
12,2,0.957,128,128,4,0.5,0.5,0.001,0.0001,500,32,0.1,10
12,3,0.9426,128,128,4,0.5,0.5,0.001,0.0001,500,32,0.1,10
12,4,0.9528,128,128,4,0.5,0.5,0.001,0.0001,500,32,0.1,10
13,0,0.945,128,128,2,0.5,0.1,0.001,0.0001,500,32,0.0,0
13,1,0.9446,128,128,2,0.5,0.1,0.001,0.0001,500,32,0.0,0
13,2,0.9591,128,128,2,0.5,0.1,0.001,0.0001,500,32,0.0,0
13,3,0.9469,128,128,2,0.5,0.1,0.001,0.0001,500,32,0.0,0
13,4,0.9484,128,128,2,0.5,0.1,0.001,0.0001,500,32,0.0,0
14,0,0.9471,256,128,4,0.5,0.1,0.005,0.0001,500,64,0.1,10
14,1,0.9468,256,128,4,0.5,0.1,0.005,0.0001,500,64,0.1,10
14,2,0.9609,256,128,4,0.5,0.1,0.005,0.0001,500,64,0.1,10
14,3,0.9403,256,128,4,0.5,0.1,0.005,0.0001,500,64,0.1,10
14,4,0.9528,256,128,4,0.5,0.1,0.005,0.0001,500,64,0.1,10
15,0,0.949,256,256,2,0.5,0.5,0.001,0.0001,500,32,0.1,10
15,1,0.9424,256,256,2,0.5,0.5,0.001,0.0001,500,32,0.1,10
15,2,0.9589,256,256,2,0.5,0.5,0.001,0.0001,500,32,0.1,10
15,3,0.9362,256,256,2,0.5,0.5,0.001,0.0001,500,32,0.1,10
15,4,0.9507,256,256,2,0.5,0.5,0.001,0.0001,500,32,0.1,10
16,0,0.9491,128,128,3,0.5,0.1,0.001,0.0001,500,32,0.0,0
16,1,0.9387,128,128,3,0.5,0.1,0.001,0.0001,500,32,0.0,0
16,2,0.959,128,128,3,0.5,0.1,0.001,0.0001,500,32,0.0,0
16,3,0.9428,128,128,3,0.5,0.1,0.001,0.0001,500,32,0.0,0
16,4,0.9486,128,128,3,0.5,0.1,0.001,0.0001,500,32,0.0,0
17,0,0.943,256,128,2,0.5,0.1,0.001,0.0001,500,64,0.0,0
17,1,0.9407,256,128,2,0.5,0.1,0.001,0.0001,500,64,0.0,0
17,2,0.9611,256,128,2,0.5,0.1,0.001,0.0001,500,64,0.0,0
17,3,0.9408,256,128,2,0.5,0.1,0.001,0.0001,500,64,0.0,0
17,4,0.9465,256,128,2,0.5,0.1,0.001,0.0001,500,64,0.0,0
18,0,0.9452,256,128,3,0.1,0.5,0.001,0.0001,500,32,0.0,10
18,1,0.9387,256,128,3,0.1,0.5,0.001,0.0001,500,32,0.0,10
18,2,0.9589,256,128,3,0.1,0.5,0.001,0.0001,500,32,0.0,10
18,3,0.9468,256,128,3,0.1,0.5,0.001,0.0001,500,32,0.0,10
18,4,0.9462,256,128,3,0.1,0.5,0.001,0.0001,500,32,0.0,10
19,0,0.9408,128,256,4,0.1,0.5,0.005,0.0001,500,64,0.0,0
19,1,0.9408,128,256,4,0.1,0.5,0.005,0.0001,500,64,0.0,0
19,2,0.9486,128,256,4,0.1,0.5,0.005,0.0001,500,64,0.0,0
19,3,0.9408,128,256,4,0.1,0.5,0.005,0.0001,500,64,0.0,0
19,4,0.9486,128,256,4,0.1,0.5,0.005,0.0001,500,64,0.0,0
20,0,0.9451,128,128,2,0.1,0.1,0.001,0.0001,500,32,0.1,0
20,1,0.9387,128,128,2,0.1,0.1,0.001,0.0001,500,32,0.1,0
20,2,0.9592,128,128,2,0.1,0.1,0.001,0.0001,500,32,0.1,0
20,3,0.9384,128,128,2,0.1,0.1,0.001,0.0001,500,32,0.1,0
20,4,0.9484,128,128,2,0.1,0.1,0.001,0.0001,500,32,0.1,0
21,0,0.9471,128,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
21,1,0.9449,128,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
21,2,0.957,128,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
21,3,0.9403,128,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
21,4,0.9544,128,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
22,0,0.947,256,256,2,0.5,0.1,0.001,0.0001,500,32,0.1,10
22,1,0.9386,256,256,2,0.5,0.1,0.001,0.0001,500,32,0.1,10
22,2,0.9527,256,256,2,0.5,0.1,0.001,0.0001,500,32,0.1,10
22,3,0.9426,256,256,2,0.5,0.1,0.001,0.0001,500,32,0.1,10
22,4,0.9527,256,256,2,0.5,0.1,0.001,0.0001,500,32,0.1,10
23,0,0.9492,128,128,4,0.1,0.5,0.001,0.0001,500,128,0.1,10
23,1,0.9426,128,128,4,0.1,0.5,0.001,0.0001,500,128,0.1,10
23,2,0.959,128,128,4,0.1,0.5,0.001,0.0001,500,128,0.1,10
23,3,0.9404,128,128,4,0.1,0.5,0.001,0.0001,500,128,0.1,10
23,4,0.9529,128,128,4,0.1,0.5,0.001,0.0001,500,128,0.1,10
24,0,0.9451,128,256,5,0.5,0.1,0.001,0.0001,500,128,0.1,0
24,1,0.9447,128,256,5,0.5,0.1,0.001,0.0001,500,128,0.1,0
24,2,0.9611,128,256,5,0.5,0.1,0.001,0.0001,500,128,0.1,0
24,3,0.9364,128,256,5,0.5,0.1,0.001,0.0001,500,128,0.1,0
24,4,0.9508,128,256,5,0.5,0.1,0.001,0.0001,500,128,0.1,0
25,0,0.9511,128,128,5,0.1,0.1,0.001,0.0001,500,128,0.1,10
25,1,0.9407,128,128,5,0.1,0.1,0.001,0.0001,500,128,0.1,10
25,2,0.9631,128,128,5,0.1,0.1,0.001,0.0001,500,128,0.1,10
25,3,0.9404,128,128,5,0.1,0.1,0.001,0.0001,500,128,0.1,10
25,4,0.9466,128,128,5,0.1,0.1,0.001,0.0001,500,128,0.1,10
26,0,0.9489,256,256,3,0.1,0.5,0.005,0.0001,500,128,0.0,0
26,1,0.9406,256,256,3,0.1,0.5,0.005,0.0001,500,128,0.0,0
26,2,0.9549,256,256,3,0.1,0.5,0.005,0.0001,500,128,0.0,0
26,3,0.9387,256,256,3,0.1,0.5,0.005,0.0001,500,128,0.0,0
26,4,0.9507,256,256,3,0.1,0.5,0.005,0.0001,500,128,0.0,0
27,0,0.9429,256,256,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
27,1,0.943,256,256,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
27,2,0.9529,256,256,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
27,3,0.9367,256,256,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
27,4,0.9464,256,256,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
28,0,0.9388,128,256,4,0.1,0.1,0.005,0.0001,500,32,0.0,10
28,1,0.9405,128,256,4,0.1,0.1,0.005,0.0001,500,32,0.0,10
28,2,0.957,128,256,4,0.1,0.1,0.005,0.0001,500,32,0.0,10
28,3,0.9388,128,256,4,0.1,0.1,0.005,0.0001,500,32,0.0,10
28,4,0.9465,128,256,4,0.1,0.1,0.005,0.0001,500,32,0.0,10
29,0,0.9472,256,256,4,0.5,0.5,0.001,0.0001,500,64,0.0,10
29,1,0.9387,256,256,4,0.5,0.5,0.001,0.0001,500,64,0.0,10
29,2,0.9572,256,256,4,0.5,0.5,0.001,0.0001,500,64,0.0,10
29,3,0.9387,256,256,4,0.5,0.5,0.001,0.0001,500,64,0.0,10
29,4,0.9466,256,256,4,0.5,0.5,0.001,0.0001,500,64,0.0,10
30,0,0.9469,128,128,4,0.5,0.5,0.001,0.0001,500,128,0.1,10
30,1,0.9469,128,128,4,0.5,0.5,0.001,0.0001,500,128,0.1,10
30,2,0.961,128,128,4,0.5,0.5,0.001,0.0001,500,128,0.1,10
30,3,0.9384,128,128,4,0.5,0.5,0.001,0.0001,500,128,0.1,10
30,4,0.9508,128,128,4,0.5,0.5,0.001,0.0001,500,128,0.1,10
31,0,0.9471,256,128,5,0.1,0.5,0.001,0.0001,500,32,0.1,0
31,1,0.9427,256,128,5,0.1,0.5,0.001,0.0001,500,32,0.1,0
31,2,0.9547,256,128,5,0.1,0.5,0.001,0.0001,500,32,0.1,0
31,3,0.9386,256,128,5,0.1,0.5,0.001,0.0001,500,32,0.1,0
31,4,0.9507,256,128,5,0.1,0.5,0.001,0.0001,500,32,0.1,0
32,0,0.9531,128,256,3,0.5,0.1,0.001,0.0001,500,128,0.1,0
32,1,0.9447,128,256,3,0.5,0.1,0.001,0.0001,500,128,0.1,0
32,2,0.9592,128,256,3,0.5,0.1,0.001,0.0001,500,128,0.1,0
32,3,0.9385,128,256,3,0.5,0.1,0.001,0.0001,500,128,0.1,0
32,4,0.9488,128,256,3,0.5,0.1,0.001,0.0001,500,128,0.1,0
33,0,0.9491,256,256,5,0.1,0.1,0.001,0.0001,500,64,0.0,10
33,1,0.9387,256,256,5,0.1,0.1,0.001,0.0001,500,64,0.0,10
33,2,0.957,256,256,5,0.1,0.1,0.001,0.0001,500,64,0.0,10
33,3,0.9386,256,256,5,0.1,0.1,0.001,0.0001,500,64,0.0,10
33,4,0.9446,256,256,5,0.1,0.1,0.001,0.0001,500,64,0.0,10
34,0,0.949,128,256,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
34,1,0.9467,128,256,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
34,2,0.9529,128,256,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
34,3,0.9385,128,256,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
34,4,0.9485,128,256,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
35,0,0.949,128,256,2,0.5,0.1,0.005,0.0001,500,64,0.1,10
35,1,0.9447,128,256,2,0.5,0.1,0.005,0.0001,500,64,0.1,10
35,2,0.959,128,256,2,0.5,0.1,0.005,0.0001,500,64,0.1,10
35,3,0.9366,128,256,2,0.5,0.1,0.005,0.0001,500,64,0.1,10
