dataset,task,seed,test_macro_f1,test_micro_f1,test_accuracy,test_auc,time_sec,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
acm,nc,0.0,0.9391,0.9388,0.9388,0.991,10.61,128.0,256.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
acm,nc,1.0,0.9291,0.9289,0.9289,0.9908,7.66,128.0,256.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
acm,nc,2.0,0.9395,0.9388,0.9388,0.9917,7.68,128.0,256.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
acm,nc,3.0,0.9426,0.9421,0.9421,0.9924,7.89,128.0,256.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
acm,nc,4.0,0.9378,0.9372,0.9372,0.9918,8.18,128.0,256.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
acm,nc,5.0,0.9364,0.9355,0.9355,0.9925,7.49,128.0,256.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
acm,nc,6.0,0.9328,0.9322,0.9322,0.9905,7.43,128.0,256.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
acm,nc,7.0,0.9444,0.9438,0.9438,0.9942,8.34,128.0,256.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
acm,nc,8.0,0.9424,0.9421,0.9421,0.9932,8.73,128.0,256.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
acm,nc,9.0,0.9345,0.9339,0.9339,0.9926,8.14,128.0,256.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
acm,nc,0.0,0.9327,0.9322,0.9322,0.9905,7.36,128.0,128.0,5.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.1,10.0
acm,nc,1.0,0.9361,0.9355,0.9355,0.991,8.33,128.0,128.0,5.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.1,10.0
acm,nc,2.0,0.9292,0.9289,0.9289,0.9878,6.98,128.0,128.0,5.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.1,10.0
acm,nc,3.0,0.9329,0.9322,0.9322,0.9919,7.58,128.0,128.0,5.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.1,10.0
acm,nc,4.0,0.9272,0.9273,0.9273,0.9914,8.07,128.0,128.0,5.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.1,10.0
acm,nc,5.0,0.9345,0.9339,0.9339,0.9925,7.32,128.0,128.0,5.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.1,10.0
acm,nc,6.0,0.9361,0.9355,0.9355,0.9925,7.89,128.0,128.0,5.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.1,10.0
acm,nc,7.0,0.9358,0.9355,0.9355,0.9932,7.28,128.0,128.0,5.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.1,10.0
acm,nc,8.0,0.9341,0.9339,0.9339,0.9923,8.07,128.0,128.0,5.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.1,10.0
acm,nc,9.0,0.9345,0.9339,0.9339,0.9912,7.06,128.0,128.0,5.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.1,10.0
