combo_id,fold,val_macro,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
0,0,0.9018,128,128,3,0.5,0.5,0.005,0.0001,500,32,0.1,0
0,1,0.9253,128,128,3,0.5,0.5,0.005,0.0001,500,32,0.1,0
0,2,0.924,128,128,3,0.5,0.5,0.005,0.0001,500,32,0.1,0
0,3,0.9025,128,128,3,0.5,0.5,0.005,0.0001,500,32,0.1,0
0,4,0.9419,128,128,3,0.5,0.5,0.005,0.0001,500,32,0.1,0
1,0,0.9075,256,256,4,0.5,0.1,0.005,0.0001,500,64,0.1,0
1,1,0.9392,256,256,4,0.5,0.1,0.005,0.0001,500,64,0.1,0
1,2,0.9355,256,256,4,0.5,0.1,0.005,0.0001,500,64,0.1,0
1,3,0.9233,256,256,4,0.5,0.1,0.005,0.0001,500,64,0.1,0
1,4,0.9494,256,256,4,0.5,0.1,0.005,0.0001,500,64,0.1,0
2,0,0.926,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,10
2,1,0.9308,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,10
2,2,0.9345,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,10
2,3,0.911,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,10
2,4,0.9415,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,10
3,0,0.9084,128,128,2,0.5,0.1,0.001,0.0001,500,128,0.0,10
3,1,0.9292,128,128,2,0.5,0.1,0.001,0.0001,500,128,0.0,10
3,2,0.9225,128,128,2,0.5,0.1,0.001,0.0001,500,128,0.0,10
3,3,0.9093,128,128,2,0.5,0.1,0.001,0.0001,500,128,0.0,10
3,4,0.944,128,128,2,0.5,0.1,0.001,0.0001,500,128,0.0,10
4,0,0.9172,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
4,1,0.9324,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
4,2,0.9319,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
4,3,0.9234,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
4,4,0.9499,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
5,0,0.915,128,256,2,0.1,0.5,0.001,0.0001,500,32,0.0,0
5,1,0.9216,128,256,2,0.1,0.5,0.001,0.0001,500,32,0.0,0
5,2,0.9256,128,256,2,0.1,0.5,0.001,0.0001,500,32,0.0,0
5,3,0.914,128,256,2,0.1,0.5,0.001,0.0001,500,32,0.0,0
5,4,0.9459,128,256,2,0.1,0.5,0.001,0.0001,500,32,0.0,0
6,0,0.9031,128,128,5,0.5,0.5,0.005,0.0001,500,32,0.0,0
6,1,0.9243,128,128,5,0.5,0.5,0.005,0.0001,500,32,0.0,0
6,2,0.9166,128,128,5,0.5,0.5,0.005,0.0001,500,32,0.0,0
6,3,0.8991,128,128,5,0.5,0.5,0.005,0.0001,500,32,0.0,0
6,4,0.9337,128,128,5,0.5,0.5,0.005,0.0001,500,32,0.0,0
7,0,0.9261,256,128,4,0.5,0.1,0.001,0.0001,500,32,0.1,10
7,1,0.9412,256,128,4,0.5,0.1,0.001,0.0001,500,32,0.1,10
7,2,0.9223,256,128,4,0.5,0.1,0.001,0.0001,500,32,0.1,10
7,3,0.9151,256,128,4,0.5,0.1,0.001,0.0001,500,32,0.1,10
7,4,0.9492,256,128,4,0.5,0.1,0.001,0.0001,500,32,0.1,10
8,0,0.903,128,128,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
8,1,0.9267,128,128,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
8,2,0.9078,128,128,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
8,3,0.9265,128,128,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
8,4,0.9237,128,128,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
9,0,0.9093,128,256,4,0.5,0.5,0.005,0.0001,500,64,0.0,0
9,1,0.9223,128,256,4,0.5,0.5,0.005,0.0001,500,64,0.0,0
9,2,0.9117,128,256,4,0.5,0.5,0.005,0.0001,500,64,0.0,0
9,3,0.9098,128,256,4,0.5,0.5,0.005,0.0001,500,64,0.0,0
9,4,0.9365,128,256,4,0.5,0.5,0.005,0.0001,500,64,0.0,0
