dataset,task,seed,test_macro_f1,test_micro_f1,test_accuracy,test_auc,time_sec,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
dblp,nc,0.0,0.9259,0.9298,0.9298,0.9905,36.67,256.0,256.0,4.0,0.5,0.1,0.005,0.0001,500.0,64.0,0.1,0.0
dblp,nc,1.0,0.9178,0.9236,0.9236,0.991,38.14,256.0,256.0,4.0,0.5,0.1,0.005,0.0001,500.0,64.0,0.1,0.0
dblp,nc,2.0,0.9233,0.9273,0.9273,0.9867,39.3,256.0,256.0,4.0,0.5,0.1,0.005,0.0001,500.0,64.0,0.1,0.0
dblp,nc,3.0,0.9174,0.9224,0.9224,0.9915,35.86,256.0,256.0,4.0,0.5,0.1,0.005,0.0001,500.0,64.0,0.1,0.0
dblp,nc,4.0,0.9203,0.9249,0.9249,0.9908,36.85,256.0,256.0,4.0,0.5,0.1,0.005,0.0001,500.0,64.0,0.1,0.0
dblp,nc,5.0,0.9141,0.9187,0.9187,0.9899,35.97,256.0,256.0,4.0,0.5,0.1,0.005,0.0001,500.0,64.0,0.1,0.0
dblp,nc,6.0,0.9176,0.9249,0.9249,0.9927,33.12,256.0,256.0,4.0,0.5,0.1,0.005,0.0001,500.0,64.0,0.1,0.0
dblp,nc,7.0,0.915,0.92,0.92,0.9898,37.0,256.0,256.0,4.0,0.5,0.1,0.005,0.0001,500.0,64.0,0.1,0.0
dblp,nc,8.0,0.9166,0.9261,0.9261,0.992,35.13,256.0,256.0,4.0,0.5,0.1,0.005,0.0001,500.0,64.0,0.1,0.0
dblp,nc,9.0,0.9323,0.936,0.936,0.9893,37.8,256.0,256.0,4.0,0.5,0.1,0.005,0.0001,500.0,64.0,0.1,0.0
