combo_id,fold,val_macro,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
0,0,0.7217,128,128,3,0.5,0.5,0.005,0.0001,500,32,0.1,0
0,1,0.6904,128,128,3,0.5,0.5,0.005,0.0001,500,32,0.1,0
0,2,0.6759,128,128,3,0.5,0.5,0.005,0.0001,500,32,0.1,0
0,3,0.6698,128,128,3,0.5,0.5,0.005,0.0001,500,32,0.1,0
0,4,0.6827,128,128,3,0.5,0.5,0.005,0.0001,500,32,0.1,0
1,0,0.709,256,256,4,0.5,0.1,0.005,0.0001,500,64,0.1,0
1,1,0.6639,256,256,4,0.5,0.1,0.005,0.0001,500,64,0.1,0
1,2,0.6673,256,256,4,0.5,0.1,0.005,0.0001,500,64,0.1,0
1,3,0.6612,256,256,4,0.5,0.1,0.005,0.0001,500,64,0.1,0
1,4,0.6839,256,256,4,0.5,0.1,0.005,0.0001,500,64,0.1,0
2,0,0.7168,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,10
2,1,0.6906,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,10
2,2,0.6792,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,10
2,3,0.6534,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,10
2,4,0.6839,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,10
3,0,0.7054,128,128,2,0.5,0.1,0.001,0.0001,500,128,0.0,10
3,1,0.6859,128,128,2,0.5,0.1,0.001,0.0001,500,128,0.0,10
3,2,0.6914,128,128,2,0.5,0.1,0.001,0.0001,500,128,0.0,10
3,3,0.6685,128,128,2,0.5,0.1,0.001,0.0001,500,128,0.0,10
3,4,0.6867,128,128,2,0.5,0.1,0.001,0.0001,500,128,0.0,10
4,0,0.7095,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
4,1,0.6705,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
4,2,0.705,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
4,3,0.6667,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
4,4,0.6856,128,256,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
5,0,0.7019,128,256,2,0.1,0.5,0.001,0.0001,500,32,0.0,0
5,1,0.683,128,256,2,0.1,0.5,0.001,0.0001,500,32,0.0,0
5,2,0.6929,128,256,2,0.1,0.5,0.001,0.0001,500,32,0.0,0
5,3,0.6631,128,256,2,0.1,0.5,0.001,0.0001,500,32,0.0,0
5,4,0.6817,128,256,2,0.1,0.5,0.001,0.0001,500,32,0.0,0
6,0,0.6824,128,128,5,0.5,0.5,0.005,0.0001,500,32,0.0,0
6,1,0.6708,128,128,5,0.5,0.5,0.005,0.0001,500,32,0.0,0
6,2,0.6699,128,128,5,0.5,0.5,0.005,0.0001,500,32,0.0,0
6,3,0.6486,128,128,5,0.5,0.5,0.005,0.0001,500,32,0.0,0
6,4,0.6742,128,128,5,0.5,0.5,0.005,0.0001,500,32,0.0,0
7,0,0.7199,256,128,4,0.5,0.1,0.001,0.0001,500,32,0.1,10
7,1,0.7044,256,128,4,0.5,0.1,0.001,0.0001,500,32,0.1,10
7,2,0.6997,256,128,4,0.5,0.1,0.001,0.0001,500,32,0.1,10
7,3,0.6691,256,128,4,0.5,0.1,0.001,0.0001,500,32,0.1,10
7,4,0.6872,256,128,4,0.5,0.1,0.001,0.0001,500,32,0.1,10
8,0,0.6859,128,128,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
8,1,0.6885,128,128,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
8,2,0.6847,128,128,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
8,3,0.6591,128,128,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
8,4,0.6789,128,128,5,0.5,0.1,0.005,0.0001,500,128,0.0,10
9,0,0.6866,128,256,4,0.5,0.5,0.005,0.0001,500,64,0.0,0
9,1,0.6681,128,256,4,0.5,0.5,0.005,0.0001,500,64,0.0,0
9,2,0.6707,128,256,4,0.5,0.5,0.005,0.0001,500,64,0.0,0
9,3,0.6385,128,256,4,0.5,0.5,0.005,0.0001,500,64,0.0,0
9,4,0.6876,128,256,4,0.5,0.5,0.005,0.0001,500,64,0.0,0
10,0,0.7084,128,256,3,0.5,0.1,0.001,0.0001,500,128,0.0,0
10,1,0.6934,128,256,3,0.5,0.1,0.001,0.0001,500,128,0.0,0
10,2,0.6934,128,256,3,0.5,0.1,0.001,0.0001,500,128,0.0,0
10,3,0.6709,128,256,3,0.5,0.1,0.001,0.0001,500,128,0.0,0
10,4,0.6877,128,256,3,0.5,0.1,0.001,0.0001,500,128,0.0,0
11,0,0.7217,128,128,3,0.5,0.5,0.001,0.0001,500,32,0.1,10
11,1,0.6947,128,128,3,0.5,0.5,0.001,0.0001,500,32,0.1,10
11,2,0.6922,128,128,3,0.5,0.5,0.001,0.0001,500,32,0.1,10
11,3,0.657,128,128,3,0.5,0.5,0.001,0.0001,500,32,0.1,10
11,4,0.6887,128,128,3,0.5,0.5,0.001,0.0001,500,32,0.1,10
12,0,0.7133,128,128,4,0.5,0.5,0.001,0.0001,500,32,0.1,10
12,1,0.6914,128,128,4,0.5,0.5,0.001,0.0001,500,32,0.1,10
12,2,0.6893,128,128,4,0.5,0.5,0.001,0.0001,500,32,0.1,10
12,3,0.6678,128,128,4,0.5,0.5,0.001,0.0001,500,32,0.1,10
