dataset,task,seed,test_macro_f1,test_micro_f1,test_accuracy,test_auc,time_sec,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
imdb,nc,0.0,0.6592,0.6628,0.6628,0.8195,8.7,256.0,128.0,4.0,0.5,0.1,0.001,0.0001,500.0,32.0,0.1,10.0
imdb,nc,1.0,0.6504,0.6585,0.6585,0.8234,8.36,256.0,128.0,4.0,0.5,0.1,0.001,0.0001,500.0,32.0,0.1,10.0
imdb,nc,2.0,0.6644,0.6729,0.6729,0.8347,8.22,256.0,128.0,4.0,0.5,0.1,0.001,0.0001,500.0,32.0,0.1,10.0
imdb,nc,3.0,0.65,0.6585,0.6585,0.8198,8.64,256.0,128.0,4.0,0.5,0.1,0.001,0.0001,500.0,32.0,0.1,10.0
imdb,nc,4.0,0.6536,0.67,0.67,0.8262,8.42,256.0,128.0,4.0,0.5,0.1,0.001,0.0001,500.0,32.0,0.1,10.0
imdb,nc,5.0,0.6879,0.6961,0.6961,0.8379,8.44,256.0,128.0,4.0,0.5,0.1,0.001,0.0001,500.0,32.0,0.1,10.0
imdb,nc,6.0,0.6649,0.6773,0.6773,0.8378,8.48,256.0,128.0,4.0,0.5,0.1,0.001,0.0001,500.0,32.0,0.1,10.0
imdb,nc,7.0,0.6601,0.6671,0.6671,0.8271,8.29,256.0,128.0,4.0,0.5,0.1,0.001,0.0001,500.0,32.0,0.1,10.0
imdb,nc,8.0,0.6858,0.6932,0.6932,0.8307,8.41,256.0,128.0,4.0,0.5,0.1,0.001,0.0001,500.0,32.0,0.1,10.0
imdb,nc,9.0,0.6598,0.6686,0.6686,0.8271,8.13,256.0,128.0,4.0,0.5,0.1,0.001,0.0001,500.0,32.0,0.1,10.0
