combo_id,fold,val_nmi,hp_d,hp_K,hp_dropout,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_cl_loss,hp_cl_temp
0,0,0.1891,256,2,0.5,0.005,0.001,100,128,contrastive,0.1
0,1,0.2076,256,2,0.5,0.005,0.001,100,128,contrastive,0.1
0,2,0.1272,256,2,0.5,0.005,0.001,100,128,contrastive,0.1
0,3,0.1527,256,2,0.5,0.005,0.001,100,128,contrastive,0.1
0,4,0.1637,256,2,0.5,0.005,0.001,100,128,contrastive,0.1
1,0,0.1581,128,4,0.5,0.001,0.0001,700,128,contrastive,0.5
1,1,0.0579,128,4,0.5,0.001,0.0001,700,128,contrastive,0.5
1,2,0.1103,128,4,0.5,0.001,0.0001,700,128,contrastive,0.5
1,3,0.1143,128,4,0.5,0.001,0.0001,700,128,contrastive,0.5
1,4,0.0601,128,4,0.5,0.001,0.0001,700,128,contrastive,0.5
2,0,0.0418,256,2,0.5,0.005,0.001,500,64,reconstruction,0.1
2,1,0.1518,256,2,0.5,0.005,0.001,500,64,reconstruction,0.1
2,2,0.0976,256,2,0.5,0.005,0.001,500,64,reconstruction,0.1
2,3,0.1058,256,2,0.5,0.005,0.001,500,64,reconstruction,0.1
2,4,0.0978,256,2,0.5,0.005,0.001,500,64,reconstruction,0.1
3,0,0.0708,128,4,0.5,0.005,0.001,300,128,contrastive,0.1
3,1,0.0547,128,4,0.5,0.005,0.001,300,128,contrastive,0.1
3,2,0.0665,128,4,0.5,0.005,0.001,300,128,contrastive,0.1
3,3,0.0572,128,4,0.5,0.005,0.001,300,128,contrastive,0.1
3,4,0.0373,128,4,0.5,0.005,0.001,300,128,contrastive,0.1
4,0,0.067,128,5,0.3,0.001,0.001,500,128,reconstruction,0.5
4,1,0.0627,128,5,0.3,0.001,0.001,500,128,reconstruction,0.5
4,2,0.1248,128,5,0.3,0.001,0.001,500,128,reconstruction,0.5
4,3,0.1999,128,5,0.3,0.001,0.001,500,128,reconstruction,0.5
4,4,0.3296,128,5,0.3,0.001,0.001,500,128,reconstruction,0.5
5,0,0.0707,256,2,0.3,0.005,0.0001,300,128,reconstruction,0.5
5,1,0.1948,256,2,0.3,0.005,0.0001,300,128,reconstruction,0.5
5,2,0.1365,256,2,0.3,0.005,0.0001,300,128,reconstruction,0.5
5,3,0.0987,256,2,0.3,0.005,0.0001,300,128,reconstruction,0.5
5,4,0.2378,256,2,0.3,0.005,0.0001,300,128,reconstruction,0.5
6,0,0.1738,256,5,0.3,0.001,0.001,300,64,contrastive,0.1
6,1,0.0517,256,5,0.3,0.001,0.001,300,64,contrastive,0.1
6,2,0.1079,256,5,0.3,0.001,0.001,300,64,contrastive,0.1
6,3,0.0576,256,5,0.3,0.001,0.001,300,64,contrastive,0.1
6,4,0.0745,256,5,0.3,0.001,0.001,300,64,contrastive,0.1
7,0,0.2509,256,3,0.3,0.001,0.0001,500,128,contrastive,0.1
7,1,0.058,256,3,0.3,0.001,0.0001,500,128,contrastive,0.1
7,2,0.1718,256,3,0.3,0.001,0.0001,500,128,contrastive,0.1
7,3,0.1883,256,3,0.3,0.001,0.0001,500,128,contrastive,0.1
7,4,0.1743,256,3,0.3,0.001,0.0001,500,128,contrastive,0.1
8,0,0.0357,64,4,0.3,0.001,0.001,300,64,reconstruction,0.1
8,1,0.0602,64,4,0.3,0.001,0.001,300,64,reconstruction,0.1
8,2,0.0603,64,4,0.3,0.001,0.001,300,64,reconstruction,0.1
8,3,0.0309,64,4,0.3,0.001,0.001,300,64,reconstruction,0.1
8,4,0.0598,64,4,0.3,0.001,0.001,300,64,reconstruction,0.1
9,0,0.13,256,2,0.3,0.005,0.0001,100,64,contrastive,0.1
9,1,0.0674,256,2,0.3,0.005,0.0001,100,64,contrastive,0.1
9,2,0.0774,256,2,0.3,0.005,0.0001,100,64,contrastive,0.1
9,3,0.0472,256,2,0.3,0.005,0.0001,100,64,contrastive,0.1
9,4,0.2136,256,2,0.3,0.005,0.0001,100,64,contrastive,0.1
10,0,0.0239,64,4,0.3,0.005,0.001,700,128,contrastive,0.1
10,1,0.0056,64,4,0.3,0.005,0.001,700,128,contrastive,0.1
10,2,0.0138,64,4,0.3,0.005,0.001,700,128,contrastive,0.1
10,3,0.0041,64,4,0.3,0.005,0.001,700,128,contrastive,0.1
10,4,0.1592,64,4,0.3,0.005,0.001,700,128,contrastive,0.1
11,0,0.1766,256,3,0.5,0.005,0.001,700,128,contrastive,0.1
11,1,0.1893,256,3,0.5,0.005,0.001,700,128,contrastive,0.1
11,2,0.2023,256,3,0.5,0.005,0.001,700,128,contrastive,0.1
11,3,0.0853,256,3,0.5,0.005,0.001,700,128,contrastive,0.1
11,4,0.1133,256,3,0.5,0.005,0.001,700,128,contrastive,0.1
12,0,0.1577,256,6,0.5,0.001,0.001,500,64,contrastive,0.5
12,1,0.1002,256,6,0.5,0.001,0.001,500,64,contrastive,0.5
12,2,0.0992,256,6,0.5,0.001,0.001,500,64,contrastive,0.5
12,3,0.1304,256,6,0.5,0.001,0.001,500,64,contrastive,0.5
12,4,0.0579,256,6,0.5,0.001,0.001,500,64,contrastive,0.5
13,0,0.1545,128,5,0.5,0.005,0.001,100,64,contrastive,0.5
13,1,0.0267,128,5,0.5,0.005,0.001,100,64,contrastive,0.5
13,2,0.1219,128,5,0.5,0.005,0.001,100,64,contrastive,0.5
13,3,0.0161,128,5,0.5,0.005,0.001,100,64,contrastive,0.5
13,4,0.0246,128,5,0.5,0.005,0.001,100,64,contrastive,0.5
14,0,0.0889,128,5,0.3,0.005,0.001,100,128,contrastive,0.1
14,1,0.1279,128,5,0.3,0.005,0.001,100,128,contrastive,0.1
14,2,0.1206,128,5,0.3,0.005,0.001,100,128,contrastive,0.1
