dataset,task,seed,nmi,ari,acc,time_sec,hp_d,hp_K,hp_dropout,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_cl_loss,hp_cl_temp
acm,cl,0.0,0.0303,0.0338,0.4192,0.32,256.0,3.0,0.3,0.005,0.001,100.0,128.0,reconstruction,0.1
acm,cl,1.0,0.0505,0.0527,0.4572,0.34,256.0,3.0,0.3,0.005,0.001,100.0,128.0,reconstruction,0.1
acm,cl,2.0,0.0389,0.0416,0.4502,0.36,256.0,3.0,0.3,0.005,0.001,100.0,128.0,reconstruction,0.1
acm,cl,3.0,0.0137,0.0148,0.3914,0.35,256.0,3.0,0.3,0.005,0.001,100.0,128.0,reconstruction,0.1
acm,cl,4.0,0.002,0.0018,0.3527,0.31,256.0,3.0,0.3,0.005,0.001,100.0,128.0,reconstruction,0.1
acm,cl,5.0,0.0211,0.0196,0.403,0.33,256.0,3.0,0.3,0.005,0.001,100.0,128.0,reconstruction,0.1
acm,cl,6.0,0.034,0.0325,0.4063,0.31,256.0,3.0,0.3,0.005,0.001,100.0,128.0,reconstruction,0.1
acm,cl,7.0,0.0792,0.0848,0.5045,0.34,256.0,3.0,0.3,0.005,0.001,100.0,128.0,reconstruction,0.1
acm,cl,8.0,0.0561,0.0617,0.4916,0.32,256.0,3.0,0.3,0.005,0.001,100.0,128.0,reconstruction,0.1
acm,cl,9.0,0.0162,0.0157,0.3927,0.33,256.0,3.0,0.3,0.005,0.001,100.0,128.0,reconstruction,0.1
