combo_id,fold,val_auc,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
0,0,0.9194,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,1,0.7239,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,2,0.8946,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,3,0.9007,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,4,0.8613,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
1,0,0.6105,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,1,0.5982,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,2,0.8427,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,3,0.7279,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,4,0.6344,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
2,0,0.8841,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,1,0.8872,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,2,0.8818,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,3,0.7224,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,4,0.8853,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
3,0,0.896,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,1,0.8923,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,2,0.8871,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,3,0.9043,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,4,0.941,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
4,0,0.822,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,1,0.8308,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,2,0.6015,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,3,0.8602,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,4,0.7189,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
5,0,0.9023,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,1,0.8854,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,2,0.8052,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,3,0.9218,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,4,0.8955,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
6,0,0.863,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,1,0.9181,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,2,0.9073,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,3,0.8508,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,4,0.8437,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
7,0,0.905,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,1,0.9071,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,2,0.9043,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,3,0.8971,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,4,0.9072,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
8,0,0.8727,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,1,0.8971,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,2,0.5055,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,3,0.7347,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,4,0.8464,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
9,0,0.7019,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,1,0.758,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,2,0.6892,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,3,0.7627,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,4,0.77,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
10,0,0.8933,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,1,0.8924,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,2,0.8902,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,3,0.8898,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,4,0.8712,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
11,0,0.7438,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,1,0.5796,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,2,0.6395,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,3,0.644,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,4,0.6705,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
12,0,0.7988,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,1,0.8575,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,2,0.7076,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,3,0.8592,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,4,0.8619,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
13,0,0.8741,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,1,0.8673,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,2,0.8762,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,3,0.892,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,4,0.8952,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
14,0,0.625,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,1,0.6431,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,2,0.7756,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,3,0.6584,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,4,0.8477,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
15,0,0.5761,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,1,0.5655,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,2,0.556,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,3,0.8099,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,4,0.6999,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
16,0,0.9073,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,1,0.9295,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,2,0.9157,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,3,0.9172,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,4,0.9107,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
17,0,0.8737,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,1,0.8819,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,2,0.8502,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,3,0.8801,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,4,0.8864,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
18,0,0.5272,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,1,0.6967,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,2,0.8638,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,3,0.8163,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,4,0.5192,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
19,0,0.6678,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,1,0.8712,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,2,0.8291,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,3,0.891,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,4,0.8875,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
20,0,0.6466,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,1,0.6405,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,2,0.6485,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,3,0.6562,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,4,0.8645,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
