combo_id,fold,val_auc,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
0,0,0.7251,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,1,0.7631,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,2,0.8194,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,3,0.7783,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,4,0.8372,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
1,0,0.7592,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,1,0.6687,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,2,0.7373,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,3,0.7912,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,4,0.8326,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
2,0,0.7557,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,1,0.8899,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,2,0.8227,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,3,0.7975,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,4,0.7927,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
3,0,0.9003,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,1,0.8616,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,2,0.8611,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,3,0.9119,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,4,0.8556,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
4,0,0.6949,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,1,0.6993,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,2,0.8046,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,3,0.7856,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,4,0.7965,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
5,0,0.7789,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,1,0.8023,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,2,0.8652,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,3,0.912,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,4,0.8617,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
6,0,0.9255,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,1,0.8623,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,2,0.8447,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,3,0.8878,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,4,0.8676,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
7,0,0.915,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,1,0.8614,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,2,0.822,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,3,0.8876,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,4,0.8343,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
8,0,0.6799,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,1,0.8574,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,2,0.7607,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,3,0.7299,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,4,0.7364,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
9,0,0.8,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
