dataset,task,seed,test_auc,test_ap,test_macro_f1,hits@1,hits@3,hits@10,time_sec,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
amazon,lp,0.0,0.8628,0.5516,0.6905,0.2284,0.4069,0.7283,2.27,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
amazon,lp,1.0,0.9256,0.7107,0.7444,0.2815,0.4926,0.7714,1.97,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
amazon,lp,2.0,0.8786,0.6296,0.6865,0.2182,0.3813,0.6538,1.89,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
amazon,lp,3.0,0.8763,0.597,0.6286,0.2171,0.3983,0.6684,1.81,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
amazon,lp,4.0,0.8661,0.5809,0.5483,0.1988,0.3729,0.6615,1.93,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
amazon,lp,5.0,0.8829,0.6255,0.7123,0.1956,0.3563,0.6494,1.94,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
amazon,lp,6.0,0.9091,0.6608,0.7811,0.2194,0.4293,0.7544,1.95,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
amazon,lp,7.0,0.854,0.5596,0.6198,0.2133,0.3951,0.7135,1.92,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
amazon,lp,8.0,0.8792,0.6312,0.619,0.266,0.4604,0.6993,1.77,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
amazon,lp,9.0,0.8568,0.5542,0.6902,0.23,0.4023,0.7363,1.86,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
amazon,lp,0.0,0.8795,0.6344,0.7587,0.2184,0.3702,0.667,1.73,128.0,32.0,2.0,0.1,0.5,0.001,0.0001,400.0,64.0,0.1,0.0
amazon,lp,1.0,0.9248,0.7169,0.7074,0.2893,0.4918,0.7754,1.52,128.0,32.0,2.0,0.1,0.5,0.001,0.0001,400.0,64.0,0.1,0.0
