dataset,task,seed,test_auc,test_ap,test_mrr,test_macro_f1,hits@1,hits@3,hits@10,time_sec,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
amazon_ini,lp,0.0,0.8628,0.5511,0.3676,0.6907,0.2235,0.4015,0.7263,2.34,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,400.0,128.0,0.0,10.0
amazon_ini,lp,1.0,0.9254,0.7098,0.4318,0.7444,0.2813,0.4902,0.7701,2.2,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,400.0,128.0,0.0,10.0
amazon_ini,lp,2.0,0.8786,0.6295,0.351,0.6867,0.2187,0.382,0.6545,2.09,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,400.0,128.0,0.0,10.0
amazon_ini,lp,3.0,0.8753,0.5955,0.3549,0.6269,0.2168,0.3973,0.6671,2.09,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,400.0,128.0,0.0,10.0
amazon_ini,lp,4.0,0.8661,0.5808,0.3367,0.5479,0.1968,0.3728,0.6614,2.13,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,400.0,128.0,0.0,10.0
amazon_ini,lp,5.0,0.8826,0.6249,0.3276,0.7117,0.1951,0.3537,0.6489,2.16,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,400.0,128.0,0.0,10.0
amazon_ini,lp,6.0,0.9086,0.66,0.3773,0.7809,0.2191,0.4292,0.7537,2.14,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,400.0,128.0,0.0,10.0
amazon_ini,lp,7.0,0.854,0.5597,0.3582,0.6197,0.213,0.3949,0.7129,2.13,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,400.0,128.0,0.0,10.0
amazon_ini,lp,8.0,0.8792,0.6311,0.4054,0.6184,0.2653,0.4611,0.6996,2.12,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,400.0,128.0,0.0,10.0
amazon_ini,lp,9.0,0.8571,0.5555,0.3746,0.69,0.2305,0.406,0.7374,2.22,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,400.0,128.0,0.0,10.0
