dataset,task,seed,test_auc,test_ap,hits@1,hits@3,hits@10,time_sec,hp_d,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
dblp,lp,42.0,0.8424,0.4446,0.0649,0.1754,0.4533,36.0,128.0,3.0,0.3,0.5,0.001,0.0001,300.0,64.0,0.0,10.0
dblp,lp,84.0,0.8307,0.4525,0.069,0.1861,0.4581,38.73,128.0,3.0,0.3,0.5,0.001,0.0001,300.0,64.0,0.0,10.0
dblp,lp,126.0,0.7741,0.3839,0.0402,0.111,0.3049,33.59,128.0,3.0,0.3,0.5,0.001,0.0001,300.0,64.0,0.0,10.0
dblp,lp,168.0,0.8506,0.4475,0.0753,0.2036,0.5083,42.59,128.0,3.0,0.3,0.5,0.001,0.0001,300.0,64.0,0.0,10.0
dblp,lp,210.0,0.8434,0.4659,0.0705,0.2062,0.4953,42.73,128.0,3.0,0.3,0.5,0.001,0.0001,300.0,64.0,0.0,10.0
dblp,lp,252.0,0.7982,0.3418,0.0509,0.1428,0.3848,39.88,128.0,3.0,0.3,0.5,0.001,0.0001,300.0,64.0,0.0,10.0
dblp,lp,294.0,0.8308,0.4093,0.0593,0.1654,0.4276,35.76,128.0,3.0,0.3,0.5,0.001,0.0001,300.0,64.0,0.0,10.0
dblp,lp,336.0,0.8162,0.3982,0.0499,0.142,0.3642,41.6,128.0,3.0,0.3,0.5,0.001,0.0001,300.0,64.0,0.0,10.0
dblp,lp,378.0,0.8472,0.465,0.0741,0.2001,0.5075,43.45,128.0,3.0,0.3,0.5,0.001,0.0001,300.0,64.0,0.0,10.0
dblp,lp,420.0,0.7773,0.316,0.044,0.1171,0.3031,39.41,128.0,3.0,0.3,0.5,0.001,0.0001,300.0,64.0,0.0,10.0
