combo_id,fold,val_f1,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
0,0,0.6218,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,1,0.7071,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,2,0.6207,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,3,0.7152,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,4,0.6069,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
1,0,0.5146,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,1,0.3175,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,2,0.5768,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,3,0.6839,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,4,0.4389,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
2,0,0.6752,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,1,0.3974,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,2,0.5231,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,3,0.6479,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,4,0.6495,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
3,0,0.6984,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,1,0.7188,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,2,0.7132,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,3,0.6425,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,4,0.7252,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
4,0,0.6653,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,1,0.6398,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,2,0.6608,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,3,0.4374,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,4,0.6761,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
5,0,0.6381,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,1,0.6343,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,2,0.3813,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,3,0.4807,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,4,0.6442,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
6,0,0.6742,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,1,0.7368,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,2,0.6259,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,3,0.7057,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,4,0.7421,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
7,0,0.663,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,1,0.6158,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,2,0.4264,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,3,0.6156,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,4,0.6564,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
8,0,0.5445,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,1,0.4198,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,2,0.465,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,3,0.5703,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,4,0.6329,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
9,0,0.6432,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,1,0.4131,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,2,0.6323,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,3,0.6303,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,4,0.6066,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
10,0,0.6315,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,1,0.6174,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,2,0.6386,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,3,0.6483,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,4,0.677,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
11,0,0.6766,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,1,0.1869,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,2,0.4146,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,3,0.4766,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,4,0.5518,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
12,0,0.5953,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,1,0.6768,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,2,0.6127,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,3,0.6567,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,4,0.5778,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
13,0,0.5885,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,1,0.631,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,2,0.4015,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,3,0.7039,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,4,0.6487,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
14,0,0.6657,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,1,0.738,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,2,0.715,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,3,0.6503,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,4,0.7294,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
15,0,0.5931,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,1,0.6219,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,2,0.5387,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,3,0.6115,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,4,0.5926,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
16,0,0.69,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,1,0.6877,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,2,0.6453,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,3,0.7128,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,4,0.666,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
