combo_id,fold,val_auc,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
0,0,0.5292,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,1,0.5485,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,2,0.6266,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,3,0.5623,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,4,0.5334,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
1,0,0.6732,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,1,0.7141,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,2,0.6567,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,3,0.5439,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,4,0.5686,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
2,0,0.5481,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,1,0.5898,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,2,0.5532,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,3,0.6519,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,4,0.6434,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
3,0,0.6911,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,1,0.5754,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,2,0.556,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,3,0.657,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,4,0.5747,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
4,0,0.613,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,1,0.6014,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,2,0.5189,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,3,0.5641,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,4,0.6148,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
5,0,0.6116,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,1,0.5523,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,2,0.6696,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,3,0.5767,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,4,0.6226,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
6,0,0.7351,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,1,0.5452,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,2,0.7737,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,3,0.5763,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,4,0.5552,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
7,0,0.6554,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,1,0.5105,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,2,0.5947,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,3,0.5801,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,4,0.6296,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
8,0,0.6053,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,1,0.5612,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,2,0.6026,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,3,0.6054,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,4,0.5643,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
9,0,0.4696,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,1,0.6428,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,2,0.6379,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,3,0.5423,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,4,0.6228,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
10,0,0.5619,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,1,0.5935,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,2,0.6206,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,3,0.5307,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,4,0.5225,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
11,0,0.6463,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,1,0.6292,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,2,0.6185,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,3,0.6639,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,4,0.6629,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
12,0,0.6121,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,1,0.6068,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,2,0.5624,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,3,0.5732,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,4,0.5334,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
13,0,0.6028,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,1,0.6477,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,2,0.6576,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,3,0.5779,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,4,0.5301,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
14,0,0.5813,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,1,0.6171,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,2,0.6249,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,3,0.5452,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,4,0.5442,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
15,0,0.7003,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,1,0.6055,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,2,0.7198,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,3,0.6882,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,4,0.647,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
16,0,0.6781,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,1,0.5497,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,2,0.5918,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,3,0.6662,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,4,0.5682,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
17,0,0.5831,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,1,0.5369,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,2,0.5629,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,3,0.5473,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,4,0.6548,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
18,0,0.4758,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,1,0.6052,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,2,0.616,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,3,0.4955,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,4,0.6886,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
19,0,0.5693,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,1,0.5879,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,2,0.5407,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,3,0.5792,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,4,0.5457,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
20,0,0.6828,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,1,0.5934,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,2,0.5881,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,3,0.6066,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,4,0.5556,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
21,0,0.4659,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
21,1,0.5944,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
21,2,0.5077,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
21,3,0.6079,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
21,4,0.5859,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
22,0,0.6389,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
22,1,0.6488,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
22,2,0.6845,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
22,3,0.6593,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
22,4,0.5098,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
23,0,0.5644,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
23,1,0.6209,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
23,2,0.5891,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
23,3,0.5354,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
23,4,0.6389,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
24,0,0.563,32,32,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
24,1,0.5241,32,32,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
24,2,0.541,32,32,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
24,3,0.6712,32,32,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
24,4,0.6472,32,32,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
25,0,0.548,64,64,3,0.1,0.1,0.001,0.0001,500,64,0.1,10
25,1,0.6252,64,64,3,0.1,0.1,0.001,0.0001,500,64,0.1,10
25,2,0.6066,64,64,3,0.1,0.1,0.001,0.0001,500,64,0.1,10
25,3,0.5548,64,64,3,0.1,0.1,0.001,0.0001,500,64,0.1,10
25,4,0.6084,64,64,3,0.1,0.1,0.001,0.0001,500,64,0.1,10
26,0,0.7508,64,32,6,0.1,0.1,0.005,0.0001,600,64,0.0,10
26,1,0.7135,64,32,6,0.1,0.1,0.005,0.0001,600,64,0.0,10
26,2,0.768,64,32,6,0.1,0.1,0.005,0.0001,600,64,0.0,10
26,3,0.601,64,32,6,0.1,0.1,0.005,0.0001,600,64,0.0,10
26,4,0.5479,64,32,6,0.1,0.1,0.005,0.0001,600,64,0.0,10
27,0,0.5868,32,32,2,0.1,0.5,0.001,0.0001,700,64,0.1,10
27,1,0.5655,32,32,2,0.1,0.5,0.001,0.0001,700,64,0.1,10
27,2,0.4974,32,32,2,0.1,0.5,0.001,0.0001,700,64,0.1,10
27,3,0.5777,32,32,2,0.1,0.5,0.001,0.0001,700,64,0.1,10
27,4,0.6634,32,32,2,0.1,0.5,0.001,0.0001,700,64,0.1,10
28,0,0.5392,64,128,3,0.5,0.1,0.005,0.0001,300,32,0.0,10
28,1,0.6255,64,128,3,0.5,0.1,0.005,0.0001,300,32,0.0,10
28,2,0.5544,64,128,3,0.5,0.1,0.005,0.0001,300,32,0.0,10
28,3,0.5483,64,128,3,0.5,0.1,0.005,0.0001,300,32,0.0,10
28,4,0.5361,64,128,3,0.5,0.1,0.005,0.0001,300,32,0.0,10
29,0,0.3975,32,64,4,0.1,0.1,0.001,0.0001,700,64,0.0,10
29,1,0.6362,32,64,4,0.1,0.1,0.001,0.0001,700,64,0.0,10
29,2,0.528,32,64,4,0.1,0.1,0.001,0.0001,700,64,0.0,10
29,3,0.6957,32,64,4,0.1,0.1,0.001,0.0001,700,64,0.0,10
29,4,0.6309,32,64,4,0.1,0.1,0.001,0.0001,700,64,0.0,10
30,0,0.6028,32,32,3,0.1,0.1,0.001,0.0001,600,128,0.1,0
30,1,0.5623,32,32,3,0.1,0.1,0.001,0.0001,600,128,0.1,0
30,2,0.5747,32,32,3,0.1,0.1,0.001,0.0001,600,128,0.1,0
30,3,0.6221,32,32,3,0.1,0.1,0.001,0.0001,600,128,0.1,0
30,4,0.5896,32,32,3,0.1,0.1,0.001,0.0001,600,128,0.1,0
31,0,0.5932,128,128,6,0.1,0.5,0.005,0.0001,1000,128,0.1,0
31,1,0.6329,128,128,6,0.1,0.5,0.005,0.0001,1000,128,0.1,0
31,2,0.5981,128,128,6,0.1,0.5,0.005,0.0001,1000,128,0.1,0
31,3,0.6332,128,128,6,0.1,0.5,0.005,0.0001,1000,128,0.1,0
31,4,0.6365,128,128,6,0.1,0.5,0.005,0.0001,1000,128,0.1,0
32,0,0.5765,64,32,3,0.1,0.5,0.001,0.0001,200,64,0.1,10
32,1,0.6021,64,32,3,0.1,0.5,0.001,0.0001,200,64,0.1,10
32,2,0.5388,64,32,3,0.1,0.5,0.001,0.0001,200,64,0.1,10
