dataset,task,seed,test_auc,test_ap,test_macro_f1,hits@1,hits@3,hits@10,time_sec,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
pubmed,lp,0.0,0.7537,0.5554,0.2245,0.2259,0.2728,0.3612,11.83,64.0,32.0,6.0,0.1,0.1,0.005,0.0001,600.0,64.0,0.0,10.0
pubmed,lp,1.0,0.6237,0.361,0.5016,0.157,0.1796,0.2427,10.76,64.0,32.0,6.0,0.1,0.1,0.005,0.0001,600.0,64.0,0.0,10.0
pubmed,lp,2.0,0.796,0.6537,0.7622,0.2519,0.3094,0.4007,11.73,64.0,32.0,6.0,0.1,0.1,0.005,0.0001,600.0,64.0,0.0,10.0
pubmed,lp,3.0,0.6164,0.4533,0.657,0.2567,0.3212,0.4201,11.69,64.0,32.0,6.0,0.1,0.1,0.005,0.0001,600.0,64.0,0.0,10.0
pubmed,lp,4.0,0.6284,0.4268,0.1431,0.196,0.2237,0.2817,11.56,64.0,32.0,6.0,0.1,0.1,0.005,0.0001,600.0,64.0,0.0,10.0
pubmed,lp,5.0,0.7451,0.547,0.1429,0.2153,0.258,0.3453,11.51,64.0,32.0,6.0,0.1,0.1,0.005,0.0001,600.0,64.0,0.0,10.0
pubmed,lp,6.0,0.5931,0.3653,0.5946,0.1713,0.1837,0.2197,12.48,64.0,32.0,6.0,0.1,0.1,0.005,0.0001,600.0,64.0,0.0,10.0
pubmed,lp,7.0,0.5909,0.353,0.4169,0.1703,0.184,0.2194,12.5,64.0,32.0,6.0,0.1,0.1,0.005,0.0001,600.0,64.0,0.0,10.0
pubmed,lp,8.0,0.6263,0.3708,0.5871,0.175,0.1906,0.2403,12.5,64.0,32.0,6.0,0.1,0.1,0.005,0.0001,600.0,64.0,0.0,10.0
pubmed,lp,9.0,0.6619,0.3895,0.1427,0.1512,0.1889,0.3177,34.28,64.0,32.0,6.0,0.1,0.1,0.005,0.0001,600.0,64.0,0.0,10.0
