dataset,run,auc,mrr,auc_per_rel,mrr_per_rel,time_sec,hp_d,hp_K,hp_dropout,hp_lr,hp_wd,hp_epochs,hp_patience,hp_decoder_dropout
amazon_ini,0,0.805,0.9151,"{""product\u2192product_0"": 0.8885, ""product\u2192product_1"": 0.7215}","{""product\u2192product_0"": 0.9443, ""product\u2192product_1"": 0.8858}",1.17,128,5,0.1,0.001,0.0001,400,30,0.3
amazon_ini,1,0.7615,0.8973,"{""product\u2192product_0"": 0.8488, ""product\u2192product_1"": 0.6741}","{""product\u2192product_0"": 0.9409, ""product\u2192product_1"": 0.8538}",1.23,128,5,0.1,0.001,0.0001,400,30,0.3
amazon_ini,2,0.7288,0.8553,"{""product\u2192product_0"": 0.848, ""product\u2192product_1"": 0.6096}","{""product\u2192product_0"": 0.9114, ""product\u2192product_1"": 0.7992}",0.93,128,5,0.1,0.001,0.0001,400,30,0.3
amazon_ini,3,0.7757,0.9004,"{""product\u2192product_0"": 0.8718, ""product\u2192product_1"": 0.6796}","{""product\u2192product_0"": 0.944, ""product\u2192product_1"": 0.8569}",1.12,128,5,0.1,0.001,0.0001,400,30,0.3
amazon_ini,4,0.8029,0.9186,"{""product\u2192product_0"": 0.8694, ""product\u2192product_1"": 0.7365}","{""product\u2192product_0"": 0.9494, ""product\u2192product_1"": 0.8879}",1.23,128,5,0.1,0.001,0.0001,400,30,0.3
lastfm,0,0.7813,0.9309,,,4.64,128,5,0.1,0.001,0.0001,400,30,0.3
lastfm,1,0.7899,0.9393,,,5.04,128,5,0.1,0.001,0.0001,400,30,0.3
lastfm,2,0.7694,0.93,,,4.43,128,5,0.1,0.001,0.0001,400,30,0.3
lastfm,3,0.7776,0.9086,,,5.08,128,5,0.1,0.001,0.0001,400,30,0.3
lastfm,4,0.7965,0.9322,,,5.1,128,5,0.1,0.001,0.0001,400,30,0.3
pubmed_ini,0,0.6221,0.8585,"{""paper\u2192author"": 0.6221}","{""paper\u2192author"": 0.8585}",11.31,128,5,0.1,0.001,0.0001,400,30,0.3
pubmed_ini,1,0.662,0.892,"{""paper\u2192author"": 0.662}","{""paper\u2192author"": 0.892}",11.36,128,5,0.1,0.001,0.0001,400,30,0.3
pubmed_ini,2,0.5787,0.8259,"{""paper\u2192author"": 0.5787}","{""paper\u2192author"": 0.8259}",11.33,128,5,0.1,0.001,0.0001,400,30,0.3
pubmed_ini,3,0.6543,0.8922,"{""paper\u2192author"": 0.6543}","{""paper\u2192author"": 0.8922}",11.21,128,5,0.1,0.001,0.0001,400,30,0.3
pubmed_ini,4,0.5996,0.849,"{""paper\u2192author"": 0.5996}","{""paper\u2192author"": 0.849}",11.19,128,5,0.1,0.001,0.0001,400,30,0.3
