dataset,run,auc,mrr,auc_per_rel,mrr_per_rel,time_sec,hp_d,hp_K,hp_dropout,hp_lr,hp_wd,hp_epochs,hp_patience,hp_decoder_dropout,hp_head,hp_gnn_heads,hp_gnn_dropout
amazon,0,0.8817,0.9289,"{""product\u2192product_0"": 0.9136, ""product\u2192product_1"": 0.8499}","{""product\u2192product_0"": 0.9456, ""product\u2192product_1"": 0.9123}",2.72,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
amazon,1,0.8637,0.9496,"{""product\u2192product_0"": 0.8776, ""product\u2192product_1"": 0.8497}","{""product\u2192product_0"": 0.9601, ""product\u2192product_1"": 0.939}",3.1,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
amazon,2,0.9107,0.9632,"{""product\u2192product_0"": 0.9357, ""product\u2192product_1"": 0.8857}","{""product\u2192product_0"": 0.9735, ""product\u2192product_1"": 0.9529}",3.11,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
amazon,3,0.908,0.9538,"{""product\u2192product_0"": 0.9247, ""product\u2192product_1"": 0.8913}","{""product\u2192product_0"": 0.9641, ""product\u2192product_1"": 0.9434}",2.63,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
amazon,4,0.9063,0.9561,"{""product\u2192product_0"": 0.9279, ""product\u2192product_1"": 0.8846}","{""product\u2192product_0"": 0.9717, ""product\u2192product_1"": 0.9405}",2.69,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
lastfm,0,0.7692,0.8794,,,8.68,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
lastfm,1,0.77,0.8761,,,8.47,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
lastfm,2,0.7624,0.8898,,,6.69,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
lastfm,3,0.7213,0.8841,,,13.12,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
lastfm,4,0.7002,0.8412,,,8.45,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
pubmed,0,0.406,0.7119,"{""paper\u2192author"": 0.406}","{""paper\u2192author"": 0.7119}",12.59,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
pubmed,1,0.3311,0.5998,"{""paper\u2192author"": 0.3311}","{""paper\u2192author"": 0.5998}",16.05,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
pubmed,2,0.4538,0.7239,"{""paper\u2192author"": 0.4538}","{""paper\u2192author"": 0.7239}",12.53,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
pubmed,3,0.3383,0.5723,"{""paper\u2192author"": 0.3383}","{""paper\u2192author"": 0.5723}",10.93,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
pubmed,4,0.3462,0.5822,"{""paper\u2192author"": 0.3462}","{""paper\u2192author"": 0.5822}",17.38,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
