combo_id,fold,val_macro,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
0,0,0.917,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,1,0.9323,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,2,0.9275,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,3,0.9093,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,4,0.9518,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
1,0,0.9149,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,1,0.9209,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,2,0.9297,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,3,0.9157,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,4,0.9525,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
2,0,0.9116,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,1,0.9332,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,2,0.9218,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,3,0.9154,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,4,0.9499,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
3,0,0.9329,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,1,0.9361,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,2,0.9333,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,3,0.9301,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,4,0.9472,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
4,0,0.9125,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,1,0.9311,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,2,0.9358,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,3,0.9123,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,4,0.9512,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
5,0,0.9059,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,1,0.9302,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,2,0.925,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,3,0.93,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,4,0.9409,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
6,0,0.9223,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,1,0.9344,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,2,0.9275,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,3,0.9265,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,4,0.9512,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
7,0,0.921,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,1,0.932,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,2,0.931,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,3,0.9226,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,4,0.944,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
8,0,0.9012,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,1,0.9177,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,2,0.9171,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,3,0.901,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,4,0.9304,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
9,0,0.9116,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,1,0.9355,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,2,0.937,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,3,0.921,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,4,0.9515,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
10,0,0.9154,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,1,0.9304,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,2,0.9042,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,3,0.9241,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,4,0.9499,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
11,0,0.8927,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,1,0.9219,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,2,0.9039,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,3,0.9127,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,4,0.9144,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
12,0,0.9019,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,1,0.9115,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,2,0.8916,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,3,0.9028,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,4,0.9254,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
13,0,0.904,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
