dataset,task,seed,test_macro_f1,test_micro_f1,test_accuracy,test_auc,time_sec,hp_d,hp_K,hp_dropout,hp_lr,hp_wd,hp_gcn_hidden,hp_epochs
imdb,nc,0.0,0.6163,0.6252,0.6252,0.7966,40.24,64.0,6.0,0.3,0.001,0.001,64.0,1000.0
imdb,nc,1.0,0.6384,0.6411,0.6411,0.7981,40.57,64.0,6.0,0.3,0.001,0.001,64.0,1000.0
imdb,nc,2.0,0.6492,0.6527,0.6527,0.7954,40.01,64.0,6.0,0.3,0.001,0.001,64.0,1000.0
imdb,nc,3.0,0.6315,0.644,0.644,0.8068,39.35,64.0,6.0,0.3,0.001,0.001,64.0,1000.0
imdb,nc,4.0,0.6222,0.6266,0.6266,0.7729,39.22,64.0,6.0,0.3,0.001,0.001,64.0,1000.0
imdb,nc,5.0,0.6189,0.6237,0.6237,0.7987,39.44,64.0,6.0,0.3,0.001,0.001,64.0,1000.0
imdb,nc,6.0,0.6149,0.6223,0.6223,0.7875,39.32,64.0,6.0,0.3,0.001,0.001,64.0,1000.0
imdb,nc,7.0,0.6432,0.6585,0.6585,0.7882,39.28,64.0,6.0,0.3,0.001,0.001,64.0,1000.0
imdb,nc,8.0,0.6315,0.6353,0.6353,0.7967,39.46,64.0,6.0,0.3,0.001,0.001,64.0,1000.0
imdb,nc,9.0,0.6121,0.6208,0.6208,0.7834,39.36,64.0,6.0,0.3,0.001,0.001,64.0,1000.0
imdb,nc,42.0,0.6687,0.6802,0.6802,0.8319,5.84,256.0,1.0,0.3,0.001,0.001,100.0,64.0
imdb,nc,84.0,0.6774,0.6831,0.6831,0.8255,3.77,256.0,1.0,0.3,0.001,0.001,100.0,64.0
imdb,nc,126.0,0.6483,0.6686,0.6686,0.8228,3.38,256.0,1.0,0.3,0.001,0.001,100.0,64.0
imdb,nc,168.0,0.6679,0.6802,0.6802,0.837,3.36,256.0,1.0,0.3,0.001,0.001,100.0,64.0
imdb,nc,210.0,0.6642,0.6729,0.6729,0.8258,3.37,256.0,1.0,0.3,0.001,0.001,100.0,64.0
imdb,nc,252.0,0.6661,0.6715,0.6715,0.8293,3.33,256.0,1.0,0.3,0.001,0.001,100.0,64.0
imdb,nc,294.0,0.6554,0.6729,0.6729,0.8321,3.36,256.0,1.0,0.3,0.001,0.001,100.0,64.0
imdb,nc,336.0,0.6769,0.6903,0.6903,0.8318,3.36,256.0,1.0,0.3,0.001,0.001,100.0,64.0
imdb,nc,378.0,0.6816,0.6932,0.6932,0.8315,3.34,256.0,1.0,0.3,0.001,0.001,100.0,64.0
imdb,nc,420.0,0.6422,0.6541,0.6541,0.8218,3.35,256.0,1.0,0.3,0.001,0.001,100.0,64.0
imdb,nc,0.0,0.6331,0.644,0.644,0.8255,7.14,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
imdb,nc,1.0,0.6525,0.6614,0.6614,0.8292,6.93,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
imdb,nc,2.0,0.6683,0.6715,0.6715,0.837,6.82,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
imdb,nc,3.0,0.6409,0.657,0.657,0.8274,6.73,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
imdb,nc,4.0,0.6005,0.6179,0.6179,0.8164,6.97,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
imdb,nc,5.0,0.656,0.6585,0.6585,0.8102,7.22,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
imdb,nc,6.0,0.6255,0.6339,0.6339,0.8146,6.83,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
imdb,nc,7.0,0.6549,0.657,0.657,0.8302,7.38,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
imdb,nc,8.0,0.6434,0.657,0.657,0.83,7.03,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
imdb,nc,9.0,0.6161,0.6353,0.6353,0.8286,7.01,128.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,128.0,0.0,10.0
imdb,nc,0.0,0.6364,0.6425,0.6425,0.8141,6.03,64.0,128.0,5.0,0.1,0.5,0.005,0.0001,400.0,32.0,0.0,10.0
imdb,nc,1.0,0.6286,0.6353,0.6353,0.8005,6.55,64.0,128.0,5.0,0.1,0.5,0.005,0.0001,400.0,32.0,0.0,10.0
imdb,nc,2.0,0.6578,0.6599,0.6599,0.8148,6.14,64.0,128.0,5.0,0.1,0.5,0.005,0.0001,400.0,32.0,0.0,10.0
imdb,nc,3.0,0.6685,0.6816,0.6816,0.8261,6.07,64.0,128.0,5.0,0.1,0.5,0.005,0.0001,400.0,32.0,0.0,10.0
imdb,nc,4.0,0.63,0.6512,0.6512,0.8126,6.13,64.0,128.0,5.0,0.1,0.5,0.005,0.0001,400.0,32.0,0.0,10.0
imdb,nc,5.0,0.649,0.6599,0.6599,0.806,6.08,64.0,128.0,5.0,0.1,0.5,0.005,0.0001,400.0,32.0,0.0,10.0
imdb,nc,6.0,0.6364,0.644,0.644,0.8226,5.86,64.0,128.0,5.0,0.1,0.5,0.005,0.0001,400.0,32.0,0.0,10.0
imdb,nc,7.0,0.6395,0.6483,0.6483,0.8104,6.61,64.0,128.0,5.0,0.1,0.5,0.005,0.0001,400.0,32.0,0.0,10.0
imdb,nc,8.0,0.6602,0.6643,0.6643,0.8204,6.01,64.0,128.0,5.0,0.1,0.5,0.005,0.0001,400.0,32.0,0.0,10.0
imdb,nc,9.0,0.6256,0.6339,0.6339,0.7894,6.19,64.0,128.0,5.0,0.1,0.5,0.005,0.0001,400.0,32.0,0.0,10.0
imdb,nc,0.0,0.663,0.6715,0.6715,0.8266,7.15,128.0,128.0,3.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.0,10.0
