combo_id,fold,val_recall@10,val_ndcg@10,val_recall@20,val_ndcg@20,val_recall@50,val_ndcg@50,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup,hp_K_rec,hp_neg_ratio,hp_bpr_reg
0,0,0.2696,0.1905,0.3658,0.2229,0.5307,0.2665,128,64,1,0.5,0.1,0.001,0.0001,400,32,0.1,0,50,10,0.001
0,1,0.2735,0.1981,0.3722,0.2311,0.5352,0.2746,128,64,1,0.5,0.1,0.001,0.0001,400,32,0.1,0,50,10,0.001
0,2,0.2673,0.1912,0.3695,0.225,0.5337,0.2689,128,64,1,0.5,0.1,0.001,0.0001,400,32,0.1,0,50,10,0.001
0,3,0.2765,0.1975,0.3711,0.2291,0.5291,0.2712,128,64,1,0.5,0.1,0.001,0.0001,400,32,0.1,0,50,10,0.001
0,4,0.2526,0.1824,0.3503,0.2147,0.5066,0.2564,128,64,1,0.5,0.1,0.001,0.0001,400,32,0.1,0,50,10,0.001
1,0,0.2261,0.1598,0.3074,0.1869,0.4561,0.2257,32,64,1,0.1,0.5,0.001,0.0001,500,64,0.1,0,10,10,0.0001
1,1,0.2471,0.1754,0.3397,0.2064,0.5008,0.2492,32,64,1,0.1,0.5,0.001,0.0001,500,64,0.1,0,10,10,0.0001
1,2,0.2231,0.1576,0.3146,0.1881,0.4664,0.228,32,64,1,0.1,0.5,0.001,0.0001,500,64,0.1,0,10,10,0.0001
1,3,0.2446,0.1713,0.3424,0.2036,0.498,0.2447,32,64,1,0.1,0.5,0.001,0.0001,500,64,0.1,0,10,10,0.0001
1,4,0.2445,0.1715,0.3333,0.201,0.4841,0.241,32,64,1,0.1,0.5,0.001,0.0001,500,64,0.1,0,10,10,0.0001
2,0,0.2111,0.1514,0.2893,0.1766,0.4217,0.2114,32,128,3,0.5,0.5,0.005,0.0001,200,64,0.0,0,20,5,0.0001
2,1,0.1976,0.1429,0.2778,0.1693,0.4107,0.2045,32,128,3,0.5,0.5,0.005,0.0001,200,64,0.0,0,20,5,0.0001
2,2,0.2146,0.1553,0.2914,0.1808,0.4276,0.2169,32,128,3,0.5,0.5,0.005,0.0001,200,64,0.0,0,20,5,0.0001
2,3,0.2123,0.1515,0.2874,0.1763,0.4337,0.2148,32,128,3,0.5,0.5,0.005,0.0001,200,64,0.0,0,20,5,0.0001
2,4,0.2145,0.1553,0.2911,0.1806,0.4344,0.2187,32,128,3,0.5,0.5,0.005,0.0001,200,64,0.0,0,20,5,0.0001
3,0,0.3229,0.2279,0.4458,0.2682,0.6218,0.315,128,32,2,0.1,0.5,0.001,0.0001,500,64,0.1,10,50,5,0.0001
3,1,0.3219,0.2262,0.4391,0.2653,0.6135,0.312,128,32,2,0.1,0.5,0.001,0.0001,500,64,0.1,10,50,5,0.0001
3,2,0.3191,0.2244,0.4339,0.2629,0.6163,0.3113,128,32,2,0.1,0.5,0.001,0.0001,500,64,0.1,10,50,5,0.0001
3,3,0.3301,0.2322,0.4549,0.2739,0.6304,0.3209,128,32,2,0.1,0.5,0.001,0.0001,500,64,0.1,10,50,5,0.0001
3,4,0.3127,0.2244,0.4343,0.2649,0.6105,0.3117,128,32,2,0.1,0.5,0.001,0.0001,500,64,0.1,10,50,5,0.0001
4,0,0.1031,0.0651,0.153,0.081,0.255,0.1068,64,128,6,0.5,0.1,0.001,0.0001,200,128,0.0,10,50,10,0.001
4,1,0.1827,0.1318,0.2649,0.1584,0.3893,0.1913,64,128,6,0.5,0.1,0.001,0.0001,200,128,0.0,10,50,10,0.001
4,2,0.1523,0.1045,0.2134,0.1244,0.3269,0.1538,64,128,6,0.5,0.1,0.001,0.0001,200,128,0.0,10,50,10,0.001
4,3,0.158,0.1117,0.2226,0.1326,0.3466,0.1651,64,128,6,0.5,0.1,0.001,0.0001,200,128,0.0,10,50,10,0.001
4,4,0.1142,0.0707,0.1655,0.0872,0.275,0.1149,64,128,6,0.5,0.1,0.001,0.0001,200,128,0.0,10,50,10,0.001
5,0,0.291,0.2065,0.3981,0.2424,0.571,0.2876,128,128,6,0.1,0.5,0.001,0.0001,300,64,0.0,10,20,10,0.001
5,1,0.2803,0.1988,0.3864,0.2342,0.5476,0.2774,128,128,6,0.1,0.5,0.001,0.0001,300,64,0.0,10,20,10,0.001
5,2,0.2692,0.1893,0.3717,0.2235,0.5453,0.2692,128,128,6,0.1,0.5,0.001,0.0001,300,64,0.0,10,20,10,0.001
5,3,0.2873,0.2068,0.3896,0.2413,0.5569,0.2859,128,128,6,0.1,0.5,0.001,0.0001,300,64,0.0,10,20,10,0.001
5,4,0.2698,0.1918,0.3695,0.225,0.5444,0.2709,128,128,6,0.1,0.5,0.001,0.0001,300,64,0.0,10,20,10,0.001
6,0,0.3428,0.2437,0.4712,0.286,0.652,0.3343,128,64,2,0.5,0.1,0.005,0.0001,700,64,0.1,10,50,10,0.001
6,1,0.3409,0.2441,0.4666,0.2864,0.6457,0.3343,128,64,2,0.5,0.1,0.005,0.0001,700,64,0.1,10,50,10,0.001
6,2,0.3291,0.2338,0.4518,0.2751,0.6387,0.3247,128,64,2,0.5,0.1,0.005,0.0001,700,64,0.1,10,50,10,0.001
6,3,0.348,0.2476,0.4704,0.2887,0.6487,0.3367,128,64,2,0.5,0.1,0.005,0.0001,700,64,0.1,10,50,10,0.001
6,4,0.3323,0.238,0.4547,0.279,0.6352,0.3271,128,64,2,0.5,0.1,0.005,0.0001,700,64,0.1,10,50,10,0.001
7,0,0.3421,0.2415,0.4711,0.2844,0.6489,0.3317,128,64,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
7,1,0.339,0.2419,0.468,0.2849,0.6489,0.3333,128,64,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
7,2,0.3288,0.236,0.455,0.2781,0.6412,0.3274,128,64,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
7,3,0.3394,0.2419,0.4599,0.2824,0.6336,0.3293,128,64,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
7,4,0.3264,0.2323,0.4508,0.2742,0.6314,0.3222,128,64,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
8,0,0.3122,0.223,0.435,0.2633,0.615,0.3112,64,128,1,0.5,0.1,0.005,0.0001,700,32,0.0,0,20,5,0.001
8,1,0.2967,0.2134,0.4059,0.2499,0.5814,0.2964,64,128,1,0.5,0.1,0.005,0.0001,700,32,0.0,0,20,5,0.001
8,2,0.2953,0.2132,0.404,0.2497,0.5752,0.2954,64,128,1,0.5,0.1,0.005,0.0001,700,32,0.0,0,20,5,0.001
8,3,0.3098,0.2253,0.4239,0.2638,0.5958,0.3096,64,128,1,0.5,0.1,0.005,0.0001,700,32,0.0,0,20,5,0.001
8,4,0.2757,0.2001,0.383,0.2361,0.5573,0.2823,64,128,1,0.5,0.1,0.005,0.0001,700,32,0.0,0,20,5,0.001
9,0,0.3024,0.2189,0.4184,0.2577,0.5962,0.3049,64,64,5,0.5,0.5,0.005,0.0001,600,128,0.1,0,10,5,0.001
9,1,0.3227,0.2333,0.4389,0.2724,0.6147,0.3194,64,64,5,0.5,0.5,0.005,0.0001,600,128,0.1,0,10,5,0.001
9,2,0.3057,0.219,0.4116,0.2547,0.5912,0.3025,64,64,5,0.5,0.5,0.005,0.0001,600,128,0.1,0,10,5,0.001
9,3,0.3114,0.2228,0.4271,0.2615,0.6017,0.3085,64,64,5,0.5,0.5,0.005,0.0001,600,128,0.1,0,10,5,0.001
9,4,0.297,0.2159,0.4081,0.2529,0.5856,0.3001,64,64,5,0.5,0.5,0.005,0.0001,600,128,0.1,0,10,5,0.001
10,0,0.3003,0.2147,0.412,0.2521,0.593,0.2999,64,128,3,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
10,1,0.2953,0.2104,0.4127,0.2491,0.5812,0.2941,64,128,3,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
10,2,0.2832,0.2076,0.3995,0.2462,0.5673,0.2908,64,128,3,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
10,3,0.3014,0.2144,0.4046,0.2491,0.5701,0.2934,64,128,3,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
10,4,0.2916,0.2106,0.3994,0.2466,0.5708,0.2922,64,128,3,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
11,0,0.311,0.2223,0.4253,0.2607,0.6048,0.3082,128,128,5,0.5,0.5,0.001,0.0001,700,128,0.0,0,10,5,0.0001
11,1,0.3144,0.2229,0.4285,0.2614,0.6067,0.3089,128,128,5,0.5,0.5,0.001,0.0001,700,128,0.0,0,10,5,0.0001
11,2,0.3183,0.2294,0.4411,0.2707,0.6245,0.3194,128,128,5,0.5,0.5,0.001,0.0001,700,128,0.0,0,10,5,0.0001
11,3,0.3177,0.2275,0.4307,0.2657,0.6097,0.3134,128,128,5,0.5,0.5,0.001,0.0001,700,128,0.0,0,10,5,0.0001
11,4,0.3157,0.2254,0.4263,0.2625,0.6127,0.3121,128,128,5,0.5,0.5,0.001,0.0001,700,128,0.0,0,10,5,0.0001
12,0,0.3302,0.2343,0.4528,0.2752,0.6412,0.3248,128,128,6,0.1,0.1,0.005,0.0001,200,64,0.1,10,10,5,0.0001
12,1,0.332,0.2334,0.4558,0.2751,0.6367,0.3237,128,128,6,0.1,0.1,0.005,0.0001,200,64,0.1,10,10,5,0.0001
12,2,0.3226,0.2259,0.4455,0.2668,0.6299,0.3159,128,128,6,0.1,0.1,0.005,0.0001,200,64,0.1,10,10,5,0.0001
12,3,0.3406,0.2405,0.4646,0.2822,0.6465,0.3311,128,128,6,0.1,0.1,0.005,0.0001,200,64,0.1,10,10,5,0.0001
12,4,0.3358,0.237,0.4585,0.2784,0.6482,0.3284,128,128,6,0.1,0.1,0.005,0.0001,200,64,0.1,10,10,5,0.0001
13,0,0.2228,0.1575,0.3111,0.1867,0.4484,0.2228,32,32,6,0.1,0.5,0.001,0.0001,400,32,0.0,10,20,10,0.0001
13,1,0.2363,0.168,0.3321,0.1999,0.4736,0.2377,32,32,6,0.1,0.5,0.001,0.0001,400,32,0.0,10,20,10,0.0001
13,2,0.2151,0.156,0.2965,0.1832,0.4335,0.2196,32,32,6,0.1,0.5,0.001,0.0001,400,32,0.0,10,20,10,0.0001
13,3,0.2268,0.1643,0.3087,0.1921,0.4459,0.2282,32,32,6,0.1,0.5,0.001,0.0001,400,32,0.0,10,20,10,0.0001
