epoch,bpr_loss
1,0.693093
2,0.681049
3,0.639494
4,0.540043
5,0.494152
6,0.489536
7,0.447165
8,0.462834
9,0.420981
10,0.418013
11,0.421156
12,0.390981
13,0.383336
14,0.381779
15,0.362534
16,0.351656
17,0.352887
18,0.342884
19,0.336927
20,0.333944
21,0.331898
22,0.329174
23,0.317968
24,0.306909
25,0.299581
26,0.292298
27,0.282847
28,0.279639
29,0.270528
30,0.257792
31,0.253614
32,0.254194
33,0.251454
34,0.247062
35,0.237031
36,0.243532
37,0.234267
38,0.229331
39,0.232213
40,0.231281
41,0.218958
42,0.221389
43,0.212417
44,0.208371
45,0.210383
46,0.208399
47,0.197854
48,0.196024
49,0.193293
50,0.191734
51,0.189231
52,0.187166
53,0.186481
54,0.179899
55,0.178574
56,0.178548
57,0.176674
58,0.175189
59,0.166973
60,0.171958
61,0.168961
62,0.163668
63,0.163584
64,0.159522
65,0.159521
66,0.157275
67,0.154837
68,0.151951
69,0.147052
70,0.146433
71,0.142852
72,0.140319
73,0.142009
74,0.14289
75,0.136549
76,0.135919
77,0.13706
78,0.134966
79,0.131181
80,0.128984
81,0.127436
82,0.126301
83,0.123836
84,0.127513
85,0.120247
86,0.118144
87,0.118067
88,0.121083
89,0.115627
90,0.117657
91,0.110097
92,0.109775
93,0.109546
94,0.110478
95,0.10924
96,0.105975
97,0.109675
98,0.103782
99,0.100419
100,0.103557
101,0.103431
102,0.103256
103,0.102726
104,0.100091
105,0.102797
106,0.099179
107,0.097264
108,0.097959
109,0.094723
110,0.096853
111,0.093386
112,0.093901
113,0.093107
114,0.092986
115,0.090586
116,0.090636
117,0.08771
118,0.08946
119,0.088964
120,0.091677
121,0.094176
122,0.089735
123,0.091382
124,0.087648
125,0.08769
126,0.087219
127,0.086674
128,0.087119
129,0.086344
130,0.085152
131,0.085811
132,0.085483
133,0.081216
134,0.082299
135,0.080855
136,0.080307
137,0.083165
138,0.079214
139,0.079613
140,0.079722
141,0.082998
142,0.079751
143,0.080806
144,0.078852
145,0.077923
146,0.074162
147,0.076052
148,0.076183
149,0.074903
150,0.074177
151,0.0741
152,0.075239
153,0.073723
154,0.07382
155,0.074611
156,0.075554
157,0.074132
158,0.074655
159,0.073609
160,0.073152
161,0.072138
162,0.072606
163,0.074159
164,0.0724
165,0.069542
166,0.071171
167,0.072337
168,0.073527
169,0.072859
170,0.071374
171,0.070418
172,0.070793
173,0.070714
174,0.070761
175,0.069711
176,0.068963
177,0.069235
178,0.068904
179,0.073675
180,0.066919
181,0.06907
182,0.068749
183,0.06795
184,0.068073
185,0.066374
186,0.067936
187,0.068355
188,0.068387
189,0.06864
190,0.064857
191,0.067238
192,0.066107
193,0.066524
194,0.067158
195,0.069631
196,0.065393
197,0.068221
198,0.068315
199,0.065281
200,0.065717
201,0.067845
202,0.065455
203,0.066878
204,0.064558
205,0.064172
206,0.062567
207,0.066403
208,0.063808
209,0.067421
210,0.063325
211,0.063763
212,0.064716
213,0.063561
214,0.063486
215,0.064192
216,0.066167
217,0.061538
218,0.064459
219,0.06439
220,0.065195
221,0.064104
222,0.063228
223,0.064208
224,0.064671
225,0.062723
226,0.064468
227,0.063205
228,0.061877
229,0.060435
230,0.062511
231,0.063305
232,0.063282
233,0.060677
234,0.061586
235,0.062412
236,0.060382
237,0.061732
238,0.062535
239,0.060489
240,0.060972
241,0.060145
242,0.061764
243,0.061016
244,0.058378
245,0.060679
246,0.062069
247,0.061698
248,0.058127
249,0.060589
250,0.060995
251,0.06128
252,0.059834
253,0.059833
254,0.063618
255,0.059326
256,0.059925
257,0.057902
258,0.055409
259,0.057031
260,0.059813
261,0.058997
262,0.058408
263,0.058959
264,0.060576
265,0.058881
266,0.060389
267,0.057163
268,0.059352
269,0.060572
270,0.05786
271,0.058697
272,0.057493
273,0.057189
274,0.056048
275,0.057859
276,0.057661
277,0.058243
278,0.059808
279,0.058855
280,0.056002
281,0.057851
282,0.059114
283,0.058584
284,0.060928
285,0.057254
286,0.060338
287,0.05778
288,0.056119
289,0.058249
290,0.058559
291,0.056921
292,0.057362
293,0.05762
294,0.055201
