dataset,task,seed,recall@10,ndcg@10,hit@10,precision@10,mrr@10,recall@20,ndcg@20,hit@20,precision@20,mrr@20,recall@50,ndcg@50,hit@50,precision@50,mrr@50,time_sec,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup,hp_K_rec,hp_neg_ratio,hp_bpr_reg
amazon,rec,0.0,0.3823,0.2954,0.6609,0.1105,0.3734,0.5134,0.3414,0.7743,0.0768,0.3814,0.6994,0.394,0.8825,0.0434,0.385,76.18,128.0,32.0,4.0,0.5,0.1,0.005,0.0001,1000.0,128.0,0.0,10.0,50.0,10.0,0.0001
amazon,rec,1.0,0.3784,0.2912,0.6559,0.1089,0.368,0.5108,0.3378,0.7734,0.0764,0.3762,0.7023,0.3914,0.8868,0.0433,0.3799,65.07,128.0,32.0,4.0,0.5,0.1,0.005,0.0001,1000.0,128.0,0.0,10.0,50.0,10.0,0.0001
amazon,rec,2.0,0.3807,0.2935,0.662,0.1099,0.3703,0.5109,0.3392,0.7695,0.0763,0.3779,0.6946,0.3913,0.8769,0.0432,0.3814,65.75,128.0,32.0,4.0,0.5,0.1,0.005,0.0001,1000.0,128.0,0.0,10.0,50.0,10.0,0.0001
amazon,rec,3.0,0.3692,0.2868,0.6437,0.1064,0.3648,0.4965,0.3313,0.7607,0.0741,0.3728,0.6846,0.3846,0.8728,0.0425,0.3765,65.19,128.0,32.0,4.0,0.5,0.1,0.005,0.0001,1000.0,128.0,0.0,10.0,50.0,10.0,0.0001
amazon,rec,4.0,0.38,0.2954,0.6566,0.1101,0.3739,0.5122,0.3417,0.7718,0.0767,0.3819,0.7005,0.3948,0.8827,0.0434,0.3856,66.46,128.0,32.0,4.0,0.5,0.1,0.005,0.0001,1000.0,128.0,0.0,10.0,50.0,10.0,0.0001
amazon,rec,5.0,0.3669,0.2854,0.6367,0.1066,0.3638,0.4991,0.3316,0.7601,0.0748,0.3724,0.6841,0.3837,0.8726,0.0424,0.3761,65.98,128.0,32.0,4.0,0.5,0.1,0.005,0.0001,1000.0,128.0,0.0,10.0,50.0,10.0,0.0001
amazon,rec,6.0,0.3799,0.2964,0.6584,0.1093,0.3772,0.5126,0.3428,0.7718,0.0763,0.3851,0.7017,0.3964,0.8841,0.0435,0.3888,65.2,128.0,32.0,4.0,0.5,0.1,0.005,0.0001,1000.0,128.0,0.0,10.0,50.0,10.0,0.0001
amazon,rec,7.0,0.3863,0.2986,0.6611,0.1117,0.3752,0.5218,0.3457,0.7815,0.0776,0.3836,0.7028,0.3971,0.8841,0.0435,0.387,82.3,128.0,32.0,4.0,0.5,0.1,0.005,0.0001,1000.0,128.0,0.0,10.0,50.0,10.0,0.0001
amazon,rec,8.0,0.3777,0.294,0.6559,0.1095,0.3755,0.5124,0.3412,0.7747,0.0766,0.3837,0.6945,0.3928,0.8807,0.0432,0.3873,91.47,128.0,32.0,4.0,0.5,0.1,0.005,0.0001,1000.0,128.0,0.0,10.0,50.0,10.0,0.0001
amazon,rec,9.0,0.3699,0.2872,0.6439,0.1069,0.3648,0.5009,0.3334,0.758,0.0751,0.3729,0.6854,0.3857,0.869,0.0426,0.3766,92.91,128.0,32.0,4.0,0.5,0.1,0.005,0.0001,1000.0,128.0,0.0,10.0,50.0,10.0,0.0001
