combo_id,fold,val_recall@10,val_ndcg@10,val_recall@20,val_ndcg@20,val_recall@50,val_ndcg@50,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup,hp_K_rec,hp_neg_ratio,hp_bpr_reg
0,0,0.1253,0.1339,0.186,0.1618,0.2909,0.2031,128,64,1,0.5,0.1,0.001,0.0001,400,32,0.1,0,50,10,0.001
0,1,0.126,0.1302,0.1905,0.159,0.3013,0.2022,128,64,1,0.5,0.1,0.001,0.0001,400,32,0.1,0,50,10,0.001
0,2,0.1279,0.1372,0.1874,0.1635,0.298,0.2071,128,64,1,0.5,0.1,0.001,0.0001,400,32,0.1,0,50,10,0.001
0,3,0.1266,0.135,0.1893,0.1631,0.3025,0.2077,128,64,1,0.5,0.1,0.001,0.0001,400,32,0.1,0,50,10,0.001
0,4,0.1296,0.1379,0.1921,0.1661,0.3023,0.2099,128,64,1,0.5,0.1,0.001,0.0001,400,32,0.1,0,50,10,0.001
1,0,0.121,0.1293,0.1795,0.156,0.2809,0.196,32,64,1,0.1,0.5,0.001,0.0001,500,64,0.1,0,10,10,0.0001
1,1,0.1085,0.1122,0.1623,0.1363,0.2588,0.1738,32,64,1,0.1,0.5,0.001,0.0001,500,64,0.1,0,10,10,0.0001
1,2,0.1192,0.1285,0.1751,0.1534,0.2787,0.1943,32,64,1,0.1,0.5,0.001,0.0001,500,64,0.1,0,10,10,0.0001
1,3,0.1132,0.12,0.1697,0.1451,0.2655,0.1829,32,64,1,0.1,0.5,0.001,0.0001,500,64,0.1,0,10,10,0.0001
1,4,0.1215,0.1302,0.178,0.1557,0.2864,0.1984,32,64,1,0.1,0.5,0.001,0.0001,500,64,0.1,0,10,10,0.0001
2,0,0.1015,0.109,0.1482,0.1299,0.2364,0.1647,32,128,3,0.5,0.5,0.005,0.0001,200,64,0.0,0,20,5,0.0001
2,1,0.0956,0.1015,0.1424,0.1221,0.2271,0.1551,32,128,3,0.5,0.5,0.005,0.0001,200,64,0.0,0,20,5,0.0001
2,2,0.0961,0.1055,0.1453,0.1269,0.2297,0.1602,32,128,3,0.5,0.5,0.005,0.0001,200,64,0.0,0,20,5,0.0001
2,3,0.0993,0.105,0.1516,0.1285,0.2404,0.1634,32,128,3,0.5,0.5,0.005,0.0001,200,64,0.0,0,20,5,0.0001
2,4,0.1014,0.1087,0.1473,0.1292,0.2338,0.1635,32,128,3,0.5,0.5,0.005,0.0001,200,64,0.0,0,20,5,0.0001
3,0,0.1439,0.1503,0.2158,0.1833,0.338,0.2314,128,32,2,0.1,0.5,0.001,0.0001,500,64,0.1,10,50,5,0.0001
3,1,0.1475,0.1542,0.2164,0.1852,0.3356,0.2321,128,32,2,0.1,0.5,0.001,0.0001,500,64,0.1,10,50,5,0.0001
3,2,0.1429,0.1503,0.212,0.1812,0.3317,0.2286,128,32,2,0.1,0.5,0.001,0.0001,500,64,0.1,10,50,5,0.0001
3,3,0.1512,0.16,0.2252,0.193,0.3472,0.2413,128,32,2,0.1,0.5,0.001,0.0001,500,64,0.1,10,50,5,0.0001
3,4,0.1419,0.1481,0.2183,0.1832,0.3375,0.2304,128,32,2,0.1,0.5,0.001,0.0001,500,64,0.1,10,50,5,0.0001
4,0,0.1002,0.1081,0.1481,0.1299,0.2354,0.1643,64,128,6,0.5,0.1,0.001,0.0001,200,128,0.0,10,50,10,0.001
4,1,0.1003,0.1059,0.1509,0.1283,0.2412,0.1636,64,128,6,0.5,0.1,0.001,0.0001,200,128,0.0,10,50,10,0.001
4,2,0.0972,0.1058,0.1469,0.1274,0.2318,0.1608,64,128,6,0.5,0.1,0.001,0.0001,200,128,0.0,10,50,10,0.001
4,3,0.1006,0.1054,0.1493,0.1269,0.24,0.1627,64,128,6,0.5,0.1,0.001,0.0001,200,128,0.0,10,50,10,0.001
4,4,0.1021,0.1083,0.1489,0.1294,0.2338,0.1629,64,128,6,0.5,0.1,0.001,0.0001,200,128,0.0,10,50,10,0.001
5,0,0.1377,0.1478,0.2046,0.1784,0.322,0.2249,128,128,6,0.1,0.5,0.001,0.0001,300,64,0.0,10,20,10,0.001
5,1,0.1358,0.1402,0.1994,0.169,0.3205,0.2163,128,128,6,0.1,0.5,0.001,0.0001,300,64,0.0,10,20,10,0.001
5,2,0.1355,0.1433,0.2015,0.1729,0.3133,0.2175,128,128,6,0.1,0.5,0.001,0.0001,300,64,0.0,10,20,10,0.001
5,3,0.1432,0.1514,0.2099,0.1811,0.3268,0.2272,128,128,6,0.1,0.5,0.001,0.0001,300,64,0.0,10,20,10,0.001
5,4,0.135,0.1434,0.2027,0.1741,0.3195,0.2204,128,128,6,0.1,0.5,0.001,0.0001,300,64,0.0,10,20,10,0.001
6,0,0.1284,0.1382,0.1916,0.1669,0.2997,0.2097,128,64,2,0.5,0.1,0.005,0.0001,700,64,0.1,10,50,10,0.001
6,1,0.126,0.1325,0.1905,0.1611,0.3062,0.2059,128,64,2,0.5,0.1,0.005,0.0001,700,64,0.1,10,50,10,0.001
6,2,0.1264,0.1362,0.1867,0.1631,0.2983,0.2068,128,64,2,0.5,0.1,0.005,0.0001,700,64,0.1,10,50,10,0.001
6,3,0.1294,0.1358,0.1931,0.1644,0.3052,0.2085,128,64,2,0.5,0.1,0.005,0.0001,700,64,0.1,10,50,10,0.001
6,4,0.1293,0.1384,0.1876,0.1646,0.2955,0.2071,128,64,2,0.5,0.1,0.005,0.0001,700,64,0.1,10,50,10,0.001
7,0,0.127,0.1348,0.1898,0.1632,0.2973,0.2057,128,64,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
7,1,0.1306,0.1374,0.1977,0.1672,0.3121,0.212,128,64,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
7,2,0.1325,0.1407,0.1975,0.1696,0.3111,0.2144,128,64,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
7,3,0.1372,0.1449,0.2062,0.1758,0.3247,0.2225,128,64,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
7,4,0.1315,0.1404,0.1962,0.1698,0.3092,0.2145,128,64,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
8,0,0.1264,0.1352,0.1851,0.1617,0.2871,0.2021,64,128,1,0.5,0.1,0.005,0.0001,700,32,0.0,0,20,5,0.001
8,1,0.1082,0.1133,0.1632,0.1377,0.259,0.1749,64,128,1,0.5,0.1,0.005,0.0001,700,32,0.0,0,20,5,0.001
8,2,0.121,0.1292,0.1819,0.1564,0.2823,0.1961,64,128,1,0.5,0.1,0.005,0.0001,700,32,0.0,0,20,5,0.001
8,3,0.1254,0.1312,0.1879,0.1595,0.2994,0.2033,64,128,1,0.5,0.1,0.005,0.0001,700,32,0.0,0,20,5,0.001
8,4,0.1113,0.1195,0.1624,0.1423,0.2577,0.1798,64,128,1,0.5,0.1,0.005,0.0001,700,32,0.0,0,20,5,0.001
9,0,0.1107,0.1195,0.1675,0.1452,0.2614,0.1824,64,64,5,0.5,0.5,0.005,0.0001,600,128,0.1,0,10,5,0.001
9,1,0.108,0.1146,0.1641,0.1393,0.2656,0.1789,64,64,5,0.5,0.5,0.005,0.0001,600,128,0.1,0,10,5,0.001
9,2,0.1096,0.1182,0.1629,0.142,0.2611,0.1806,64,64,5,0.5,0.5,0.005,0.0001,600,128,0.1,0,10,5,0.001
9,3,0.1108,0.1184,0.1679,0.1439,0.2731,0.1851,64,64,5,0.5,0.5,0.005,0.0001,600,128,0.1,0,10,5,0.001
9,4,0.1125,0.1201,0.1629,0.1428,0.259,0.1804,64,64,5,0.5,0.5,0.005,0.0001,600,128,0.1,0,10,5,0.001
10,0,0.1123,0.1201,0.1672,0.145,0.2634,0.183,64,128,3,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
10,1,0.1075,0.1124,0.1642,0.1376,0.2625,0.176,64,128,3,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
10,2,0.1201,0.1279,0.1796,0.1544,0.2841,0.1956,64,128,3,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
10,3,0.1245,0.1311,0.1856,0.1584,0.2997,0.2032,64,128,3,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
10,4,0.1117,0.1195,0.1625,0.1424,0.2541,0.1789,64,128,3,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
11,0,0.1275,0.1349,0.1899,0.1633,0.2967,0.2055,128,128,5,0.5,0.5,0.001,0.0001,700,128,0.0,0,10,5,0.0001
