dataset,task,seed,recall@10,ndcg@10,hit@10,precision@10,mrr@10,recall@20,ndcg@20,hit@20,precision@20,mrr@20,recall@50,ndcg@50,hit@50,precision@50,mrr@50,time_sec,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup,hp_K_rec,hp_neg_ratio,hp_bpr_reg
lastfm,rec,0.0,0.1628,0.2048,0.7294,0.1601,0.4435,0.2342,0.2306,0.8256,0.1156,0.4502,0.353,0.2816,0.9091,0.0699,0.453,70.19,128.0,32.0,1.0,0.1,0.1,0.005,0.0001,700.0,64.0,0.0,0.0,20.0,10.0,0.001
lastfm,rec,1.0,0.1609,0.202,0.7182,0.1583,0.4374,0.2317,0.2277,0.8171,0.1141,0.4445,0.3545,0.2805,0.9117,0.07,0.4477,70.37,128.0,32.0,1.0,0.1,0.1,0.005,0.0001,700.0,64.0,0.0,0.0,20.0,10.0,0.001
lastfm,rec,2.0,0.166,0.2072,0.723,0.164,0.44,0.2375,0.2326,0.823,0.1169,0.447,0.3589,0.2846,0.9128,0.0707,0.4501,75.26,128.0,32.0,1.0,0.1,0.1,0.005,0.0001,700.0,64.0,0.0,0.0,20.0,10.0,0.001
lastfm,rec,3.0,0.1593,0.2013,0.722,0.1572,0.4364,0.2316,0.2275,0.8246,0.114,0.4436,0.3534,0.2798,0.9091,0.0698,0.4464,85.03,128.0,32.0,1.0,0.1,0.1,0.005,0.0001,700.0,64.0,0.0,0.0,20.0,10.0,0.001
lastfm,rec,4.0,0.162,0.2026,0.7182,0.1601,0.4347,0.2332,0.2283,0.8187,0.1151,0.4417,0.3502,0.2786,0.9011,0.0694,0.4444,69.91,128.0,32.0,1.0,0.1,0.1,0.005,0.0001,700.0,64.0,0.0,0.0,20.0,10.0,0.001
lastfm,rec,5.0,0.1636,0.2059,0.7262,0.1616,0.4442,0.2349,0.2314,0.8251,0.1157,0.4513,0.3579,0.2841,0.9133,0.0706,0.4541,70.38,128.0,32.0,1.0,0.1,0.1,0.005,0.0001,700.0,64.0,0.0,0.0,20.0,10.0,0.001
lastfm,rec,6.0,0.1654,0.2063,0.7315,0.1624,0.4455,0.2356,0.2312,0.8262,0.1158,0.4521,0.3569,0.2835,0.9139,0.0705,0.455,70.48,128.0,32.0,1.0,0.1,0.1,0.005,0.0001,700.0,64.0,0.0,0.0,20.0,10.0,0.001
lastfm,rec,7.0,0.1594,0.2002,0.7209,0.1572,0.4345,0.2294,0.2255,0.8171,0.1131,0.4413,0.3533,0.2786,0.9011,0.0699,0.444,70.72,128.0,32.0,1.0,0.1,0.1,0.005,0.0001,700.0,64.0,0.0,0.0,20.0,10.0,0.001
lastfm,rec,8.0,0.1609,0.2026,0.7236,0.1585,0.4387,0.2329,0.2285,0.8224,0.1144,0.4457,0.3539,0.2806,0.9091,0.0698,0.4485,69.56,128.0,32.0,1.0,0.1,0.1,0.005,0.0001,700.0,64.0,0.0,0.0,20.0,10.0,0.001
lastfm,rec,9.0,0.1603,0.2009,0.7113,0.1581,0.4297,0.2305,0.226,0.8182,0.1132,0.4372,0.3502,0.2775,0.9054,0.0691,0.4402,70.44,128.0,32.0,1.0,0.1,0.1,0.005,0.0001,700.0,64.0,0.0,0.0,20.0,10.0,0.001
