combo_id,fold,val_auc,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
0,0,0.756,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,1,0.7492,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,2,0.7621,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,3,0.7708,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,4,0.7128,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
1,0,0.6075,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,1,0.6524,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,2,0.6563,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,3,0.6563,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,4,0.7023,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
2,0,0.7607,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,1,0.8228,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,2,0.7996,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,3,0.7927,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,4,0.7249,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
3,0,0.8899,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,1,0.868,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,2,0.8551,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,3,0.911,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,4,0.8707,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
4,0,0.7445,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
