combo_id,fold,val_auc,hp_d,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
0,0,0.7577,256,4,0.5,0.7,0.001,0.001,700,128,0.0,0
0,1,0.8155,256,4,0.5,0.7,0.001,0.001,700,128,0.0,0
0,2,0.8407,256,4,0.5,0.7,0.001,0.001,700,128,0.0,0
0,3,0.7826,256,4,0.5,0.7,0.001,0.001,700,128,0.0,0
0,4,0.7714,256,4,0.5,0.7,0.001,0.001,700,128,0.0,0
1,0,0.8186,64,2,0.5,0.5,0.005,0.0001,500,64,0.0,0
1,1,0.72,64,2,0.5,0.5,0.005,0.0001,500,64,0.0,0
1,2,0.7722,64,2,0.5,0.5,0.005,0.0001,500,64,0.0,0
1,3,0.7853,64,2,0.5,0.5,0.005,0.0001,500,64,0.0,0
1,4,0.7622,64,2,0.5,0.5,0.005,0.0001,500,64,0.0,0
2,0,0.7295,64,1,0.3,0.3,0.005,0.0001,100,128,0.1,0
2,1,0.8024,64,1,0.3,0.3,0.005,0.0001,100,128,0.1,0
2,2,0.7584,64,1,0.3,0.3,0.005,0.0001,100,128,0.1,0
2,3,0.7877,64,1,0.3,0.3,0.005,0.0001,100,128,0.1,0
2,4,0.7944,64,1,0.3,0.3,0.005,0.0001,100,128,0.1,0
3,0,0.7707,64,2,0.5,0.5,0.001,0.001,100,128,0.0,0
3,1,0.7597,64,2,0.5,0.5,0.001,0.001,100,128,0.0,0
3,2,0.7588,64,2,0.5,0.5,0.001,0.001,100,128,0.0,0
3,3,0.7877,64,2,0.5,0.5,0.001,0.001,100,128,0.0,0
3,4,0.7523,64,2,0.5,0.5,0.001,0.001,100,128,0.0,0
4,0,0.8007,128,1,0.3,0.7,0.001,0.0001,100,64,0.0,10
4,1,0.7846,128,1,0.3,0.7,0.001,0.0001,100,64,0.0,10
4,2,0.7758,128,1,0.3,0.7,0.001,0.0001,100,64,0.0,10
4,3,0.8125,128,1,0.3,0.7,0.001,0.0001,100,64,0.0,10
4,4,0.7674,128,1,0.3,0.7,0.001,0.0001,100,64,0.0,10
5,0,0.7947,256,2,0.3,0.5,0.001,0.001,500,64,0.1,10
5,1,0.8214,256,2,0.3,0.5,0.001,0.001,500,64,0.1,10
5,2,0.8244,256,2,0.3,0.5,0.001,0.001,500,64,0.1,10
5,3,0.8072,256,2,0.3,0.5,0.001,0.001,500,64,0.1,10
5,4,0.8082,256,2,0.3,0.5,0.001,0.001,500,64,0.1,10
6,0,0.7697,64,3,0.5,0.7,0.005,0.001,300,64,0.0,10
6,1,0.7341,64,3,0.5,0.7,0.005,0.001,300,64,0.0,10
6,2,0.7528,64,3,0.5,0.7,0.005,0.001,300,64,0.0,10
6,3,0.7865,64,3,0.5,0.7,0.005,0.001,300,64,0.0,10
6,4,0.7192,64,3,0.5,0.7,0.005,0.001,300,64,0.0,10
7,0,0.7648,128,2,0.5,0.5,0.005,0.001,500,64,0.0,0
7,1,0.7492,128,2,0.5,0.5,0.005,0.001,500,64,0.0,0
7,2,0.764,128,2,0.5,0.5,0.005,0.001,500,64,0.0,0
7,3,0.7712,128,2,0.5,0.5,0.005,0.001,500,64,0.0,0
7,4,0.757,128,2,0.5,0.5,0.005,0.001,500,64,0.0,0
8,0,0.7509,64,1,0.5,0.7,0.005,0.001,500,64,0.0,0
8,1,0.7186,64,1,0.5,0.7,0.005,0.001,500,64,0.0,0
8,2,0.7028,64,1,0.5,0.7,0.005,0.001,500,64,0.0,0
8,3,0.7241,64,1,0.5,0.7,0.005,0.001,500,64,0.0,0
8,4,0.7494,64,1,0.5,0.7,0.005,0.001,500,64,0.0,0
9,0,0.7701,256,2,0.5,0.7,0.005,0.0001,700,128,0.0,10
9,1,0.6929,256,2,0.5,0.7,0.005,0.0001,700,128,0.0,10
9,2,0.7615,256,2,0.5,0.7,0.005,0.0001,700,128,0.0,10
9,3,0.7511,256,2,0.5,0.7,0.005,0.0001,700,128,0.0,10
9,4,0.748,256,2,0.5,0.7,0.005,0.0001,700,128,0.0,10
10,0,0.768,128,1,0.3,0.7,0.001,0.001,100,128,0.1,10
10,1,0.8278,128,1,0.3,0.7,0.001,0.001,100,128,0.1,10
10,2,0.7777,128,1,0.3,0.7,0.001,0.001,100,128,0.1,10
10,3,0.8161,128,1,0.3,0.7,0.001,0.001,100,128,0.1,10
10,4,0.8322,128,1,0.3,0.7,0.001,0.001,100,128,0.1,10
11,0,0.7744,256,3,0.5,0.3,0.001,0.0001,300,128,0.1,10
11,1,0.8194,256,3,0.5,0.3,0.001,0.0001,300,128,0.1,10
11,2,0.7852,256,3,0.5,0.3,0.001,0.0001,300,128,0.1,10
11,3,0.7744,256,3,0.5,0.3,0.001,0.0001,300,128,0.1,10
11,4,0.7522,256,3,0.5,0.3,0.001,0.0001,300,128,0.1,10
12,0,0.771,128,2,0.5,0.7,0.001,0.001,500,64,0.1,10
12,1,0.775,128,2,0.5,0.7,0.001,0.001,500,64,0.1,10
12,2,0.8064,128,2,0.5,0.7,0.001,0.001,500,64,0.1,10
12,3,0.8099,128,2,0.5,0.7,0.001,0.001,500,64,0.1,10
12,4,0.8037,128,2,0.5,0.7,0.001,0.001,500,64,0.1,10
13,0,0.7884,256,2,0.3,0.5,0.001,0.001,500,128,0.0,10
13,1,0.8398,256,2,0.3,0.5,0.001,0.001,500,128,0.0,10
13,2,0.8476,256,2,0.3,0.5,0.001,0.001,500,128,0.0,10
13,3,0.8132,256,2,0.3,0.5,0.001,0.001,500,128,0.0,10
13,4,0.7885,256,2,0.3,0.5,0.001,0.001,500,128,0.0,10
14,0,0.7627,64,2,0.5,0.3,0.001,0.001,700,128,0.0,0
14,1,0.7395,64,2,0.5,0.3,0.001,0.001,700,128,0.0,0
14,2,0.7719,64,2,0.5,0.3,0.001,0.001,700,128,0.0,0
14,3,0.8006,64,2,0.5,0.3,0.001,0.001,700,128,0.0,0
14,4,0.7602,64,2,0.5,0.3,0.001,0.001,700,128,0.0,0
15,0,0.7496,64,3,0.5,0.5,0.005,0.0001,700,64,0.0,10
15,1,0.7764,64,3,0.5,0.5,0.005,0.0001,700,64,0.0,10
