dataset,run,auc,mrr,auc_per_rel,mrr_per_rel,time_sec,hp_d,hp_K,hp_dropout,hp_lr,hp_wd,hp_epochs,hp_patience,hp_head,hp_n_neg,hp_decoder
amazon_ini,0,0.956,0.9831,"{""product\u2192product_0"": 0.9912, ""product\u2192product_1"": 0.9209}","{""product\u2192product_0"": 0.9952, ""product\u2192product_1"": 0.9711}",7.54,128,5,0.3,0.001,0.001,400,30,none,5,bilinear
amazon_ini,1,0.9552,0.9821,"{""product\u2192product_0"": 0.9893, ""product\u2192product_1"": 0.9211}","{""product\u2192product_0"": 0.9954, ""product\u2192product_1"": 0.9689}",7.19,128,5,0.3,0.001,0.001,400,30,none,5,bilinear
amazon_ini,2,0.9588,0.9861,"{""product\u2192product_0"": 0.9903, ""product\u2192product_1"": 0.9272}","{""product\u2192product_0"": 0.9949, ""product\u2192product_1"": 0.9773}",7.86,128,5,0.3,0.001,0.001,400,30,none,5,bilinear
amazon_ini,3,0.9579,0.9839,"{""product\u2192product_0"": 0.9893, ""product\u2192product_1"": 0.9266}","{""product\u2192product_0"": 0.995, ""product\u2192product_1"": 0.9728}",7.17,128,5,0.3,0.001,0.001,400,30,none,5,bilinear
amazon_ini,4,0.9559,0.9824,"{""product\u2192product_0"": 0.99, ""product\u2192product_1"": 0.9219}","{""product\u2192product_0"": 0.9953, ""product\u2192product_1"": 0.9694}",6.91,128,5,0.3,0.001,0.001,400,30,none,5,bilinear
lastfm,0,0.915,0.9858,,,25.3,128,5,0.3,0.001,0.001,400,30,none,5,bilinear
lastfm,1,0.9116,0.9848,,,20.38,128,5,0.3,0.001,0.001,400,30,none,5,bilinear
lastfm,2,0.8953,0.9788,,,11.57,128,5,0.3,0.001,0.001,400,30,none,5,bilinear
lastfm,3,0.9059,0.9788,,,14.22,128,5,0.3,0.001,0.001,400,30,none,5,bilinear
lastfm,4,0.9142,0.9889,,,27.65,128,5,0.3,0.001,0.001,400,30,none,5,bilinear
