dataset,run,auc,mrr,auc_per_rel,mrr_per_rel,time_sec,hp_d,hp_K,hp_dropout,hp_lr,hp_wd,hp_epochs,hp_patience,hp_decoder_dropout,hp_head,hp_gnn_heads,hp_gnn_dropout
amazon_ini,0,0.8818,0.9282,"{""product\u2192product_0"": 0.914, ""product\u2192product_1"": 0.8496}","{""product\u2192product_0"": 0.945, ""product\u2192product_1"": 0.9114}",2.76,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
amazon_ini,1,0.8656,0.9476,"{""product\u2192product_0"": 0.8819, ""product\u2192product_1"": 0.8492}","{""product\u2192product_0"": 0.9605, ""product\u2192product_1"": 0.9347}",3.1,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
amazon_ini,2,0.9104,0.9626,"{""product\u2192product_0"": 0.9381, ""product\u2192product_1"": 0.8828}","{""product\u2192product_0"": 0.9741, ""product\u2192product_1"": 0.9511}",3.09,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
amazon_ini,3,0.9084,0.9537,"{""product\u2192product_0"": 0.9242, ""product\u2192product_1"": 0.8927}","{""product\u2192product_0"": 0.964, ""product\u2192product_1"": 0.9434}",2.71,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
amazon_ini,4,0.9064,0.9585,"{""product\u2192product_0"": 0.9272, ""product\u2192product_1"": 0.8855}","{""product\u2192product_0"": 0.9723, ""product\u2192product_1"": 0.9447}",2.64,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
lastfm,0,0.7649,0.8756,,,8.64,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
lastfm,1,0.768,0.8763,,,8.51,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
lastfm,2,0.7633,0.8906,,,6.28,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
lastfm,3,0.7198,0.8844,,,12.45,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
lastfm,4,0.7139,0.8493,,,7.91,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
pubmed_ini,0,0.409,0.7149,"{""paper\u2192author"": 0.409}","{""paper\u2192author"": 0.7149}",12.04,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
pubmed_ini,1,0.3536,0.6808,"{""paper\u2192author"": 0.3536}","{""paper\u2192author"": 0.6808}",13.53,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
pubmed_ini,2,0.4437,0.7182,"{""paper\u2192author"": 0.4437}","{""paper\u2192author"": 0.7182}",12.15,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
pubmed_ini,3,0.3383,0.5725,"{""paper\u2192author"": 0.3383}","{""paper\u2192author"": 0.5725}",10.43,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
pubmed_ini,4,0.4009,0.5999,"{""paper\u2192author"": 0.4009}","{""paper\u2192author"": 0.5999}",12.09,128,5,0.1,0.001,0.0001,400,30,0.3,gat,4,0.5
