combo_id,fold,val_macro,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
0,0,0.9467,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,1,0.9367,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,2,0.9652,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,3,0.9304,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,4,0.9504,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
1,0,0.9487,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,1,0.9428,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,2,0.953,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,3,0.9324,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,4,0.959,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
2,0,0.943,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,1,0.9448,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,2,0.959,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,3,0.9219,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,4,0.9486,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
3,0,0.9487,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,1,0.9364,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,2,0.9589,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,3,0.9346,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,4,0.9446,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
4,0,0.9491,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,1,0.9364,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,2,0.957,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,3,0.9344,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,4,0.9464,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
5,0,0.941,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
