dataset,task,seed,test_macro_f1,test_micro_f1,test_accuracy,test_auc,time_sec,hp_d,hp_K,hp_dropout,hp_lr,hp_wd,hp_epochs,hp_hidden
dblp,nc,42.0,0.9218,0.9273,0.9273,0.9923,48.58,128.0,4.0,0.5,0.001,0.001,300.0,64.0
dblp,nc,84.0,0.9153,0.9212,0.9212,0.9931,49.12,128.0,4.0,0.5,0.001,0.001,300.0,64.0
dblp,nc,126.0,0.9402,0.9446,0.9446,0.9934,48.17,128.0,4.0,0.5,0.001,0.001,300.0,64.0
dblp,nc,168.0,0.9236,0.9286,0.9286,0.9925,48.66,128.0,4.0,0.5,0.001,0.001,300.0,64.0
dblp,nc,210.0,0.9259,0.9323,0.9323,0.9936,48.01,128.0,4.0,0.5,0.001,0.001,300.0,64.0
dblp,nc,252.0,0.922,0.9286,0.9286,0.9908,48.33,128.0,4.0,0.5,0.001,0.001,300.0,64.0
dblp,nc,294.0,0.9068,0.9138,0.9138,0.9896,48.49,128.0,4.0,0.5,0.001,0.001,300.0,64.0
dblp,nc,336.0,0.9233,0.9286,0.9286,0.9917,48.32,128.0,4.0,0.5,0.001,0.001,300.0,64.0
dblp,nc,378.0,0.923,0.9298,0.9298,0.9931,48.79,128.0,4.0,0.5,0.001,0.001,300.0,64.0
dblp,nc,420.0,0.9182,0.9249,0.9249,0.993,48.18,128.0,4.0,0.5,0.001,0.001,300.0,64.0
dblp,nc,42.0,0.9151,0.9212,0.9212,0.9901,104.7,128.0,4.0,0.3,0.001,0.0001,700.0,128.0
dblp,nc,84.0,0.9244,0.9298,0.9298,0.9907,104.46,128.0,4.0,0.3,0.001,0.0001,700.0,128.0
dblp,nc,126.0,0.9297,0.9347,0.9347,0.9942,104.13,128.0,4.0,0.3,0.001,0.0001,700.0,128.0
dblp,nc,168.0,0.9116,0.9175,0.9175,0.9915,104.32,128.0,4.0,0.3,0.001,0.0001,700.0,128.0
dblp,nc,210.0,0.8974,0.9052,0.9052,0.9894,104.55,128.0,4.0,0.3,0.001,0.0001,700.0,128.0
dblp,nc,252.0,0.9127,0.9187,0.9187,0.9911,104.95,128.0,4.0,0.3,0.001,0.0001,700.0,128.0
dblp,nc,294.0,0.9055,0.9126,0.9126,0.9887,104.2,128.0,4.0,0.3,0.001,0.0001,700.0,128.0
dblp,nc,336.0,0.8936,0.9015,0.9015,0.9827,104.55,128.0,4.0,0.3,0.001,0.0001,700.0,128.0
dblp,nc,378.0,0.9086,0.915,0.915,0.9884,104.56,128.0,4.0,0.3,0.001,0.0001,700.0,128.0
dblp,nc,420.0,0.9156,0.9236,0.9236,0.9931,104.24,128.0,4.0,0.3,0.001,0.0001,700.0,128.0
dblp,nc,0.0,0.9033,0.9101,0.9101,0.9801,20.75,128.0,64.0,5.0,0.1,0.1,0.001,0.0001,700.0,64.0,0.1,0.0
dblp,nc,1.0,0.9258,0.931,0.931,0.9909,20.31,128.0,64.0,5.0,0.1,0.1,0.001,0.0001,700.0,64.0,0.1,0.0
dblp,nc,2.0,0.9223,0.9261,0.9261,0.9921,19.33,128.0,64.0,5.0,0.1,0.1,0.001,0.0001,700.0,64.0,0.1,0.0
dblp,nc,3.0,0.9143,0.92,0.92,0.989,19.21,128.0,64.0,5.0,0.1,0.1,0.001,0.0001,700.0,64.0,0.1,0.0
dblp,nc,4.0,0.9237,0.9298,0.9298,0.9937,19.33,128.0,64.0,5.0,0.1,0.1,0.001,0.0001,700.0,64.0,0.1,0.0
dblp,nc,5.0,0.9143,0.92,0.92,0.9895,20.75,128.0,64.0,5.0,0.1,0.1,0.001,0.0001,700.0,64.0,0.1,0.0
dblp,nc,6.0,0.924,0.9298,0.9298,0.9914,19.86,128.0,64.0,5.0,0.1,0.1,0.001,0.0001,700.0,64.0,0.1,0.0
dblp,nc,7.0,0.9121,0.9175,0.9175,0.9917,19.17,128.0,64.0,5.0,0.1,0.1,0.001,0.0001,700.0,64.0,0.1,0.0
dblp,nc,8.0,0.9198,0.9236,0.9236,0.99,18.63,128.0,64.0,5.0,0.1,0.1,0.001,0.0001,700.0,64.0,0.1,0.0
dblp,nc,9.0,0.9133,0.9187,0.9187,0.9916,20.08,128.0,64.0,5.0,0.1,0.1,0.001,0.0001,700.0,64.0,0.1,0.0
dblp,nc,0.0,0.9319,0.9347,0.9347,0.9882,24.51,32.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,64.0,0.1,0.0
dblp,nc,1.0,0.9186,0.9249,0.9249,0.9923,18.69,32.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,64.0,0.1,0.0
dblp,nc,2.0,0.938,0.9409,0.9409,0.9915,20.63,32.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,64.0,0.1,0.0
dblp,nc,3.0,0.9344,0.9384,0.9384,0.9936,19.14,32.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,64.0,0.1,0.0
dblp,nc,4.0,0.9332,0.9372,0.9372,0.994,19.72,32.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,64.0,0.1,0.0
dblp,nc,5.0,0.9282,0.9335,0.9335,0.9929,19.15,32.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,64.0,0.1,0.0
dblp,nc,6.0,0.933,0.936,0.936,0.9926,21.03,32.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,64.0,0.1,0.0
dblp,nc,7.0,0.9205,0.9286,0.9286,0.9921,18.36,32.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,64.0,0.1,0.0
dblp,nc,8.0,0.9385,0.9433,0.9433,0.9938,18.73,32.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,64.0,0.1,0.0
dblp,nc,9.0,0.9338,0.9384,0.9384,0.9924,18.22,32.0,32.0,5.0,0.1,0.5,0.001,0.0001,300.0,64.0,0.1,0.0
dblp,nc,0.0,0.9386,0.9421,0.9421,0.9929,18.9,32.0,128.0,5.0,0.1,0.1,0.001,0.0001,600.0,128.0,0.1,10.0
dblp,nc,1.0,0.9184,0.9249,0.9249,0.991,18.76,32.0,128.0,5.0,0.1,0.1,0.001,0.0001,600.0,128.0,0.1,10.0
dblp,nc,2.0,0.9235,0.9286,0.9286,0.9939,17.87,32.0,128.0,5.0,0.1,0.1,0.001,0.0001,600.0,128.0,0.1,10.0
dblp,nc,3.0,0.9222,0.9286,0.9286,0.9939,18.2,32.0,128.0,5.0,0.1,0.1,0.001,0.0001,600.0,128.0,0.1,10.0
dblp,nc,4.0,0.9368,0.9409,0.9409,0.9929,18.07,32.0,128.0,5.0,0.1,0.1,0.001,0.0001,600.0,128.0,0.1,10.0
dblp,nc,5.0,0.9122,0.92,0.92,0.9902,18.14,32.0,128.0,5.0,0.1,0.1,0.001,0.0001,600.0,128.0,0.1,10.0
dblp,nc,6.0,0.9313,0.936,0.936,0.9949,18.0,32.0,128.0,5.0,0.1,0.1,0.001,0.0001,600.0,128.0,0.1,10.0
dblp,nc,7.0,0.9354,0.9397,0.9397,0.9947,18.97,32.0,128.0,5.0,0.1,0.1,0.001,0.0001,600.0,128.0,0.1,10.0
dblp,nc,8.0,0.9248,0.9298,0.9298,0.9931,19.34,32.0,128.0,5.0,0.1,0.1,0.001,0.0001,600.0,128.0,0.1,10.0
dblp,nc,9.0,0.929,0.9347,0.9347,0.9906,18.25,32.0,128.0,5.0,0.1,0.1,0.001,0.0001,600.0,128.0,0.1,10.0
