combo_id,fold,val_macro,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
0,0,0.714,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,1,0.6912,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,2,0.7096,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,3,0.6651,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,4,0.6856,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
1,0,0.7112,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,1,0.6758,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,2,0.6831,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,3,0.6356,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,4,0.662,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
2,0,0.7164,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,1,0.6761,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,2,0.7012,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,3,0.6509,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,4,0.6795,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
3,0,0.71,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,1,0.657,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,2,0.684,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,3,0.6478,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,4,0.6903,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
4,0,0.7058,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,1,0.6776,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,2,0.6798,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,3,0.6638,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,4,0.6792,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
5,0,0.7061,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,1,0.6677,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,2,0.6866,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,3,0.6347,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,4,0.6703,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
6,0,0.7164,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,1,0.6747,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,2,0.6733,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,3,0.6661,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,4,0.683,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
7,0,0.6922,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,1,0.6594,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,2,0.6774,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,3,0.6391,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,4,0.6773,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
8,0,0.7015,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,1,0.6858,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,2,0.6956,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,3,0.6536,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,4,0.6681,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
9,0,0.6978,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,1,0.6807,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,2,0.6738,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,3,0.6513,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,4,0.6678,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
10,0,0.6852,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,1,0.6569,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,2,0.654,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,3,0.6236,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,4,0.6761,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
11,0,0.6949,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,1,0.6438,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,2,0.6777,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,3,0.6628,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
11,4,0.6389,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
12,0,0.7038,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,1,0.683,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,2,0.6966,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,3,0.6564,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
12,4,0.6757,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
13,0,0.705,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,1,0.6627,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,2,0.6797,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,3,0.654,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
13,4,0.6364,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
14,0,0.6877,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,1,0.6819,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,2,0.6902,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,3,0.6543,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
14,4,0.6892,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
15,0,0.6788,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,1,0.6679,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,2,0.6581,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,3,0.6703,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
15,4,0.6629,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
16,0,0.6961,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,1,0.6529,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,2,0.6784,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,3,0.6786,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
16,4,0.674,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
17,0,0.6717,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,1,0.6613,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,2,0.6702,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,3,0.6502,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,4,0.6757,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
18,0,0.6896,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,1,0.6559,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,2,0.6859,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,3,0.6534,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,4,0.6753,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
19,0,0.7082,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,1,0.6713,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,2,0.6853,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,3,0.6596,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,4,0.6808,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
