dataset,task,seed,test_macro_f1,test_micro_f1,test_accuracy,test_auc,time_sec,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
acm,nc,0.0,0.6064,0.6105,0.6105,0.7788,1.61,64.0,64.0,2.0,0.5,0.5,0.001,0.0001,50.0,64.0,0.0,10.0
acm,nc,0.0,0.5711,0.5788,0.5788,0.7424,6.57,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
acm,nc,1.0,0.5438,0.5642,0.5642,0.7471,4.73,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
acm,nc,2.0,0.5848,0.6029,0.6029,0.7597,5.99,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
acm,nc,3.0,0.6218,0.6303,0.6303,0.7779,5.71,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
acm,nc,4.0,0.5981,0.6081,0.6081,0.7592,5.19,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
acm,nc,5.0,0.6011,0.6176,0.6176,0.7751,5.69,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
acm,nc,6.0,0.6039,0.6284,0.6284,0.7784,5.66,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
acm,nc,7.0,0.6099,0.6157,0.6157,0.7648,4.98,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
acm,nc,8.0,0.6002,0.6171,0.6171,0.76,5.71,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
acm,nc,9.0,0.5945,0.601,0.601,0.7725,5.93,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
acm,nc,0.0,0.5382,0.5401,0.5401,0.7176,13.66,128.0,128.0,5.0,0.5,0.5,0.001,0.0001,200.0,128.0,0.0,10.0
acm,nc,1.0,0.5622,0.567,0.567,0.7295,13.22,128.0,128.0,5.0,0.5,0.5,0.001,0.0001,200.0,128.0,0.0,10.0
acm,nc,2.0,0.536,0.5382,0.5382,0.7171,13.69,128.0,128.0,5.0,0.5,0.5,0.001,0.0001,200.0,128.0,0.0,10.0
acm,nc,3.0,0.5648,0.5732,0.5732,0.7491,9.32,128.0,128.0,5.0,0.5,0.5,0.001,0.0001,200.0,128.0,0.0,10.0
acm,nc,4.0,0.5446,0.5453,0.5453,0.7336,10.16,128.0,128.0,5.0,0.5,0.5,0.001,0.0001,200.0,128.0,0.0,10.0
acm,nc,5.0,0.5542,0.56,0.56,0.7204,12.03,128.0,128.0,5.0,0.5,0.5,0.001,0.0001,200.0,128.0,0.0,10.0
acm,nc,6.0,0.5483,0.5482,0.5482,0.7297,11.42,128.0,128.0,5.0,0.5,0.5,0.001,0.0001,200.0,128.0,0.0,10.0
acm,nc,7.0,0.5569,0.5614,0.5614,0.7406,10.17,128.0,128.0,5.0,0.5,0.5,0.001,0.0001,200.0,128.0,0.0,10.0
acm,nc,8.0,0.5539,0.5567,0.5567,0.7331,11.25,128.0,128.0,5.0,0.5,0.5,0.001,0.0001,200.0,128.0,0.0,10.0
acm,nc,9.0,0.5575,0.5604,0.5604,0.7359,11.44,128.0,128.0,5.0,0.5,0.5,0.001,0.0001,200.0,128.0,0.0,10.0
