combo_id,fold,val_macro,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
0,0,0.9282,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,1,0.9238,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,2,0.8828,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,3,0.9361,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
0,4,0.9165,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
1,0,0.9308,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,1,0.9334,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,2,0.9227,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,3,0.9407,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
1,4,0.9302,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
2,0,0.9075,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,1,0.916,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,2,0.8955,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,3,0.9318,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
2,4,0.9162,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
3,0,0.9449,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,1,0.9299,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,2,0.9059,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,3,0.9256,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
3,4,0.9326,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
4,0,0.9402,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,1,0.9347,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,2,0.909,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,3,0.9425,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
4,4,0.9358,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
5,0,0.934,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,1,0.9285,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,2,0.8904,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,3,0.8937,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
5,4,0.9215,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
6,0,0.9387,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,1,0.9126,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,2,0.8963,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,3,0.935,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
6,4,0.9386,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
7,0,0.946,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,1,0.9302,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,2,0.9101,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,3,0.9367,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
7,4,0.9429,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
8,0,0.9246,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,1,0.9179,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,2,0.8793,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,3,0.9194,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
8,4,0.8914,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
9,0,0.9454,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,1,0.9467,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,2,0.9149,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,3,0.92,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
9,4,0.9255,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
10,0,0.9235,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,1,0.9284,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,2,0.898,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,3,0.9204,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
10,4,0.9072,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
11,0,0.8988,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
