dataset,task,seed,test_macro_f1,test_micro_f1,test_accuracy,test_auc,time_sec,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
dblp,nc,0.0,0.8729,0.8796,0.8796,0.9767,3.91,64.0,64.0,2.0,0.1,0.1,0.005,0.0001,50.0,64.0,0.1,0.0
dblp,nc,0.0,0.8864,0.8944,0.8944,0.9798,3.92,64.0,64.0,2.0,0.1,0.1,0.005,0.0001,50.0,64.0,0.1,0.0
dblp,nc,0.0,0.9001,0.9085,0.9085,0.9856,22.9,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
dblp,nc,1.0,0.921,0.9268,0.9268,0.99,24.78,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
dblp,nc,2.0,0.9204,0.9268,0.9268,0.9912,29.75,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
dblp,nc,3.0,0.9023,0.9085,0.9085,0.9858,25.62,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
dblp,nc,4.0,0.9001,0.9095,0.9095,0.9872,16.56,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
dblp,nc,5.0,0.9295,0.9349,0.9349,0.9919,18.51,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
dblp,nc,6.0,0.919,0.925,0.925,0.9899,17.32,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
dblp,nc,7.0,0.9086,0.9148,0.9148,0.9871,22.47,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
dblp,nc,8.0,0.9247,0.9313,0.9313,0.992,18.56,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
dblp,nc,9.0,0.9009,0.9113,0.9113,0.9812,17.13,32.0,64.0,4.0,0.1,0.5,0.001,0.0001,1000.0,32.0,0.0,0.0
dblp,nc,0.0,0.9162,0.9232,0.9232,0.9901,16.23,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
dblp,nc,1.0,0.9179,0.9239,0.9239,0.9878,15.84,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
dblp,nc,2.0,0.9237,0.9292,0.9292,0.9916,17.25,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
dblp,nc,3.0,0.9187,0.9243,0.9243,0.9912,16.87,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
dblp,nc,4.0,0.9068,0.9148,0.9148,0.9883,14.99,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
dblp,nc,5.0,0.9169,0.9229,0.9229,0.9894,19.62,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
dblp,nc,6.0,0.9193,0.9243,0.9243,0.9915,16.85,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
dblp,nc,7.0,0.9203,0.9257,0.9257,0.99,17.79,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
dblp,nc,8.0,0.9129,0.9201,0.9201,0.989,16.19,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
dblp,nc,9.0,0.9128,0.9194,0.9194,0.9885,19.3,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,500.0,128.0,0.0,0.0
