combo_id,fold,val_macro,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
0,0,0.6303,128,128,3,0.5,0.5,0.001,0.0001,1000,64,0.0,10
1,0,0.6294,32,128,4,0.5,0.1,0.001,0.0001,1000,128,0.1,0
2,0,0.6051,128,64,3,0.5,0.1,0.001,0.0001,300,32,0.0,0
3,0,0.6119,128,32,6,0.1,0.1,0.001,0.0001,600,64,0.1,0
4,0,0.5921,64,128,6,0.5,0.1,0.001,0.0001,400,128,0.0,0
5,0,0.5948,32,128,5,0.1,0.1,0.005,0.0001,500,128,0.0,0
6,0,0.5902,64,128,5,0.1,0.5,0.005,0.0001,400,32,0.0,10
7,0,0.5903,64,32,5,0.1,0.1,0.001,0.0001,500,64,0.0,0
8,0,0.603,64,64,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
9,0,0.6202,64,64,3,0.5,0.1,0.001,0.0001,700,64,0.0,10
10,0,0.5882,32,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
11,0,0.5991,32,64,1,0.5,0.1,0.001,0.0001,600,64,0.1,10
12,0,0.6,128,64,1,0.5,0.1,0.005,0.0001,300,64,0.0,10
13,0,0.5902,32,128,4,0.1,0.1,0.001,0.0001,500,32,0.1,0
14,0,0.6045,128,128,5,0.5,0.5,0.005,0.0001,600,64,0.1,0
15,0,0.6088,32,128,6,0.5,0.5,0.005,0.0001,400,64,0.0,0
16,0,0.5951,128,32,5,0.1,0.5,0.001,0.0001,400,128,0.0,10
17,0,0.6249,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
18,0,0.5873,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
19,0,0.6208,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
20,0,0.6273,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
21,0,0.6411,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
22,0,0.602,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
23,0,0.6055,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
