dataset,task,seed,test_macro_f1,test_micro_f1,test_accuracy,test_auc,time_sec,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
imdb,nc,0.0,0.6131,0.6224,0.6224,0.7801,1.63,64.0,64.0,2.0,0.5,0.5,0.001,0.0001,50.0,64.0,0.0,10.0
imdb,nc,0.0,0.6112,0.639,0.639,0.7926,6.47,128.0,32.0,5.0,0.5,0.1,0.005,0.0001,200.0,128.0,0.0,10.0
imdb,nc,1.0,0.6143,0.6179,0.6179,0.7725,6.62,128.0,32.0,5.0,0.5,0.1,0.005,0.0001,200.0,128.0,0.0,10.0
imdb,nc,2.0,0.5916,0.6055,0.6055,0.769,6.74,128.0,32.0,5.0,0.5,0.1,0.005,0.0001,200.0,128.0,0.0,10.0
imdb,nc,3.0,0.5413,0.6096,0.6096,0.8029,6.34,128.0,32.0,5.0,0.5,0.1,0.005,0.0001,200.0,128.0,0.0,10.0
imdb,nc,4.0,0.6438,0.6518,0.6518,0.7996,6.95,128.0,32.0,5.0,0.5,0.1,0.005,0.0001,200.0,128.0,0.0,10.0
imdb,nc,5.0,0.6167,0.6237,0.6237,0.7831,6.84,128.0,32.0,5.0,0.5,0.1,0.005,0.0001,200.0,128.0,0.0,10.0
imdb,nc,6.0,0.6245,0.6232,0.6232,0.8,7.28,128.0,32.0,5.0,0.5,0.1,0.005,0.0001,200.0,128.0,0.0,10.0
imdb,nc,7.0,0.6082,0.6117,0.6117,0.7897,6.45,128.0,32.0,5.0,0.5,0.1,0.005,0.0001,200.0,128.0,0.0,10.0
imdb,nc,8.0,0.6198,0.6361,0.6361,0.789,6.44,128.0,32.0,5.0,0.5,0.1,0.005,0.0001,200.0,128.0,0.0,10.0
imdb,nc,9.0,0.6133,0.6237,0.6237,0.7961,6.48,128.0,32.0,5.0,0.5,0.1,0.005,0.0001,200.0,128.0,0.0,10.0
